local_time, electricity in kW,,,,,local_time
2019-01-01 00:00:00,2429.862,,,,,2019-01-01 00:00:00
2019-01-01 01:00:00,2399.122,,,,,2019-01-01 01:00:00
2019-01-01 02:00:00,2338.427,,,,,2019-01-01 02:00:00
2019-01-01 03:00:00,2229.466,,,,,2019-01-01 03:00:00
2019-01-01 04:00:00,2099.825,,,,,2019-01-01 04:00:00
2019-01-01 05:00:00,2019.096,,,,,2019-01-01 05:00:00
2019-01-01 06:00:00,1958.942,,,,,2019-01-01 06:00:00
2019-01-01 07:00:00,2000.575,,,,,2019-01-01 07:00:00
2019-01-01 08:00:00,2046.38,,,,,2019-01-01 08:00:00
2019-01-01 09:00:00,2112.926,,,,,2019-01-01 09:00:00
2019-01-01 10:00:00,2165.232,,,,,2019-01-01 10:00:00
2019-01-01 11:00:00,2222.394,,,,,2019-01-01 11:00:00
2019-01-01 12:00:00,2242.684,,,,,2019-01-01 12:00:00
2019-01-01 13:00:00,2258.186,,,,,2019-01-01 13:00:00
2019-01-01 14:00:00,2247.151,,,,,2019-01-01 14:00:00
2019-01-01 15:00:00,2210.359,,,,,2019-01-01 15:00:00
2019-01-01 16:00:00,2143.325,,,,,2019-01-01 16:00:00
2019-01-01 17:00:00,2066.318,,,,,2019-01-01 17:00:00
2019-01-01 18:00:00,1983.614,,,,,2019-01-01 18:00:00
2019-01-01 19:00:00,1898.703,,,,,2019-01-01 19:00:00
2019-01-01 20:00:00,1812.767,,,,,2019-01-01 20:00:00
2019-01-01 21:00:00,1725.509,,,,,2019-01-01 21:00:00
2019-01-01 22:00:00,1626.299,,,,,2019-01-01 22:00:00
2019-01-01 23:00:00,1503.086,,,,,2019-01-01 23:00:00
2019-01-02 00:00:00,1365.424,,,,,2019-01-02 00:00:00
2019-01-02 01:00:00,1213.602,,,,,2019-01-02 01:00:00
2019-01-02 02:00:00,1061.54,,,,,2019-01-02 02:00:00
2019-01-02 03:00:00,926.317,,,,,2019-01-02 03:00:00
2019-01-02 04:00:00,809.512,,,,,2019-01-02 04:00:00
2019-01-02 05:00:00,694.945,,,,,2019-01-02 05:00:00
2019-01-02 06:00:00,595.328,,,,,2019-01-02 06:00:00
2019-01-02 07:00:00,522.008,,,,,2019-01-02 07:00:00
2019-01-02 08:00:00,493.292,,,,,2019-01-02 08:00:00
2019-01-02 09:00:00,483.27,,,,,2019-01-02 09:00:00
2019-01-02 10:00:00,470.79,,,,,2019-01-02 10:00:00
2019-01-02 11:00:00,440.488,,,,,2019-01-02 11:00:00
2019-01-02 12:00:00,416.274,,,,,2019-01-02 12:00:00
2019-01-02 13:00:00,387.844,,,,,2019-01-02 13:00:00
2019-01-02 14:00:00,332.5,,,,,2019-01-02 14:00:00
2019-01-02 15:00:00,250.341,,,,,2019-01-02 15:00:00
2019-01-02 16:00:00,181.395,,,,,2019-01-02 16:00:00
2019-01-02 17:00:00,152.39,,,,,2019-01-02 17:00:00
2019-01-02 18:00:00,140.643,,,,,2019-01-02 18:00:00
2019-01-02 19:00:00,121.914,,,,,2019-01-02 19:00:00
2019-01-02 20:00:00,95.056,,,,,2019-01-02 20:00:00
2019-01-02 21:00:00,71.285,,,,,2019-01-02 21:00:00
2019-01-02 22:00:00,62.853,,,,,2019-01-02 22:00:00
2019-01-02 23:00:00,74.828,,,,,2019-01-02 23:00:00
2019-01-03 00:00:00,96.994,,,,,2019-01-03 00:00:00
2019-01-03 01:00:00,111.313,,,,,2019-01-03 01:00:00
2019-01-03 02:00:00,108.685,,,,,2019-01-03 02:00:00
2019-01-03 03:00:00,118.464,,,,,2019-01-03 03:00:00
2019-01-03 04:00:00,133.847,,,,,2019-01-03 04:00:00
2019-01-03 05:00:00,140.15,,,,,2019-01-03 05:00:00
2019-01-03 06:00:00,160.809,,,,,2019-01-03 06:00:00
2019-01-03 07:00:00,218.538,,,,,2019-01-03 07:00:00
2019-01-03 08:00:00,295.873,,,,,2019-01-03 08:00:00
2019-01-03 09:00:00,334.348,,,,,2019-01-03 09:00:00
2019-01-03 10:00:00,332.485,,,,,2019-01-03 10:00:00
2019-01-03 11:00:00,296.475,,,,,2019-01-03 11:00:00
2019-01-03 12:00:00,290.749,,,,,2019-01-03 12:00:00
2019-01-03 13:00:00,363.832,,,,,2019-01-03 13:00:00
2019-01-03 14:00:00,485.602,,,,,2019-01-03 14:00:00
2019-01-03 15:00:00,563.001,,,,,2019-01-03 15:00:00
2019-01-03 16:00:00,646.898,,,,,2019-01-03 16:00:00
2019-01-03 17:00:00,788.165,,,,,2019-01-03 17:00:00
2019-01-03 18:00:00,854.731,,,,,2019-01-03 18:00:00
2019-01-03 19:00:00,698.543,,,,,2019-01-03 19:00:00
2019-01-03 20:00:00,559.818,,,,,2019-01-03 20:00:00
2019-01-03 21:00:00,582.328,,,,,2019-01-03 21:00:00
2019-01-03 22:00:00,647.62,,,,,2019-01-03 22:00:00
2019-01-03 23:00:00,679.781,,,,,2019-01-03 23:00:00
2019-01-04 00:00:00,756.224,,,,,2019-01-04 00:00:00
2019-01-04 01:00:00,849.061,,,,,2019-01-04 01:00:00
2019-01-04 02:00:00,903.981,,,,,2019-01-04 02:00:00
2019-01-04 03:00:00,870.565,,,,,2019-01-04 03:00:00
2019-01-04 04:00:00,812.665,,,,,2019-01-04 04:00:00
