local_time,region2
01/01/2019 00:00,-482100
01/01/2019 01:00,-473440
01/01/2019 02:00,-443030
01/01/2019 03:00,-415980
01/01/2019 04:00,-404260
01/01/2019 05:00,-405420
01/01/2019 06:00,-426930
01/01/2019 07:00,-448330
01/01/2019 08:00,-471520
01/01/2019 09:00,-513170
01/01/2019 10:00,-552920
01/01/2019 11:00,-578940
01/01/2019 12:00,-600020
01/01/2019 13:00,-609000
01/01/2019 14:00,-618080
01/01/2019 15:00,-642290
01/01/2019 16:00,-705680
01/01/2019 17:00,-736780
01/01/2019 18:00,-720450
01/01/2019 19:00,-692480
01/01/2019 20:00,-655110
01/01/2019 21:00,-609910
01/01/2019 22:00,-556590
01/01/2019 23:00,-505630
02/01/2019 00:00,-500210
02/01/2019 01:00,-496490
02/01/2019 02:00,-481820
02/01/2019 03:00,-469830
02/01/2019 04:00,-463290
02/01/2019 05:00,-488780
02/01/2019 06:00,-578130
02/01/2019 07:00,-667930
02/01/2019 08:00,-736250
02/01/2019 09:00,-777950
02/01/2019 10:00,-785080
02/01/2019 11:00,-784420
02/01/2019 12:00,-792840
02/01/2019 13:00,-802160
02/01/2019 14:00,-816780
02/01/2019 15:00,-835740
02/01/2019 16:00,-879100
02/01/2019 17:00,-899240
02/01/2019 18:00,-890730
02/01/2019 19:00,-862230
02/01/2019 20:00,-809150
02/01/2019 21:00,-741990
02/01/2019 22:00,-666310
02/01/2019 23:00,-593410
03/01/2019 00:00,-576700
03/01/2019 01:00,-566180
03/01/2019 02:00,-548590
03/01/2019 03:00,-534460
03/01/2019 04:00,-526510
03/01/2019 05:00,-551740
03/01/2019 06:00,-639360
03/01/2019 07:00,-735760
03/01/2019 08:00,-800370
03/01/2019 09:00,-836360
03/01/2019 10:00,-842860
03/01/2019 11:00,-840790
03/01/2019 12:00,-844360
03/01/2019 13:00,-851860
03/01/2019 14:00,-867000
03/01/2019 15:00,-877570
03/01/2019 16:00,-894360
03/01/2019 17:00,-894120
03/01/2019 18:00,-889250
03/01/2019 19:00,-884920
03/01/2019 20:00,-836060
03/01/2019 21:00,-765660
03/01/2019 22:00,-685170
03/01/2019 23:00,-610090
04/01/2019 00:00,-591810
04/01/2019 01:00,-579110
04/01/2019 02:00,-560030
04/01/2019 03:00,-546150
04/01/2019 04:00,-537960
04/01/2019 05:00,-563380
04/01/2019 06:00,-649880
04/01/2019 07:00,-752260
04/01/2019 08:00,-817120
04/01/2019 09:00,-851960
04/01/2019 10:00,-853020
04/01/2019 11:00,-850450
04/01/2019 12:00,-850800
04/01/2019 13:00,-845640
04/01/2019 14:00,-850010
04/01/2019 15:00,-864000
04/01/2019 16:00,-879170
04/01/2019 17:00,-892740
04/01/2019 18:00,-892190
04/01/2019 19:00,-872560
04/01/2019 20:00,-813390
04/01/2019 21:00,-745790
04/01/2019 22:00,-671810
04/01/2019 23:00,-607160
05/01/2019 00:00,-588450
05/01/2019 01:00,-572130
05/01/2019 02:00,-549810
05/01/2019 03:00,-531170
05/01/2019 04:00,-519490
05/01/2019 05:00,-524800
05/01/2019 06:00,-562900
05/01/2019 07:00,-611210
05/01/2019 08:00,-675650
05/01/2019 09:00,-736980
05/01/2019 10:00,-756000
05/01/2019 11:00,-766010
05/01/2019 12:00,-772860
05/01/2019 13:00,-780210
05/01/2019 14:00,-779370
05/01/2019 15:00,-788250
05/01/2019 16:00,-832740
05/01/2019 17:00,-858560
05/01/2019 18:00,-840850
05/01/2019 19:00,-797360
05/01/2019 20:00,-744570
05/01/2019 21:00,-690480
05/01/2019 22:00,-631910
05/01/2019 23:00,-577290
06/01/2019 00:00,-561580
06/01/2019 01:00,-539540
06/01/2019 02:00,-515940
06/01/2019 03:00,-501740
06/01/2019 04:00,-485090
06/01/2019 05:00,-486910
06/01/2019 06:00,-510540
06/01/2019 07:00,-543990
06/01/2019 08:00,-595500
06/01/2019 09:00,-661440
06/01/2019 10:00,-707760
06/01/2019 11:00,-726490
06/01/2019 12:00,-743100
06/01/2019 13:00,-748200
06/01/2019 14:00,-754700
06/01/2019 15:00,-776870
06/01/2019 16:00,-827460
06/01/2019 17:00,-848390
06/01/2019 18:00,-833720
06/01/2019 19:00,-792050
06/01/2019 20:00,-741170
06/01/2019 21:00,-675180
06/01/2019 22:00,-603690
06/01/2019 23:00,-534510
07/01/2019 00:00,-520810
07/01/2019 01:00,-513560
07/01/2019 02:00,-492110
07/01/2019 03:00,-475380
07/01/2019 04:00,-463010
07/01/2019 05:00,-488640
07/01/2019 06:00,-599960
07/01/2019 07:00,-717510
07/01/2019 08:00,-764640
07/01/2019 09:00,-783070
07/01/2019 10:00,-780970
07/01/2019 11:00,-778960
07/01/2019 12:00,-779160
07/01/2019 13:00,-778730
07/01/2019 14:00,-775310
07/01/2019 15:00,-784840
07/01/2019 16:00,-838680
07/01/2019 17:00,-857780
07/01/2019 18:00,-838730
07/01/2019 19:00,-799480
07/01/2019 20:00,-741870
07/01/2019 21:00,-662940
07/01/2019 22:00,-579810
07/01/2019 23:00,-509270
08/01/2019 00:00,-496510
08/01/2019 01:00,-490340
08/01/2019 02:00,-473610
08/01/2019 03:00,-460720
08/01/2019 04:00,-456500
08/01/2019 05:00,-488770
08/01/2019 06:00,-604380
08/01/2019 07:00,-732630
08/01/2019 08:00,-763860
08/01/2019 09:00,-772590
08/01/2019 10:00,-763840
08/01/2019 11:00,-747630
08/01/2019 12:00,-736130
08/01/2019 13:00,-737000
08/01/2019 14:00,-756070
08/01/2019 15:00,-788390
08/01/2019 16:00,-862320
08/01/2019 17:00,-898690
08/01/2019 18:00,-886490
08/01/2019 19:00,-853910
08/01/2019 20:00,-807850
08/01/2019 21:00,-728370
08/01/2019 22:00,-645280
08/01/2019 23:00,-571670
09/01/2019 00:00,-555390
09/01/2019 01:00,-546460
09/01/2019 02:00,-530340
09/01/2019 03:00,-516770
09/01/2019 04:00,-511790
09/01/2019 05:00,-547740
09/01/2019 06:00,-664870
09/01/2019 07:00,-800130
09/01/2019 08:00,-840670
09/01/2019 09:00,-851030
09/01/2019 10:00,-829260
09/01/2019 11:00,-814130
09/01/2019 12:00,-810410
09/01/2019 13:00,-816940
09/01/2019 14:00,-832710
09/01/2019 15:00,-859520
09/01/2019 16:00,-900330
09/01/2019 17:00,-907250
09/01/2019 18:00,-901570
09/01/2019 19:00,-897810
09/01/2019 20:00,-855870
09/01/2019 21:00,-776670
09/01/2019 22:00,-686350
09/01/2019 23:00,-609460
10/01/2019 00:00,-592880
10/01/2019 01:00,-586180
10/01/2019 02:00,-569350
10/01/2019 03:00,-557980
10/01/2019 04:00,-550890
10/01/2019 05:00,-580920
10/01/2019 06:00,-692770
10/01/2019 07:00,-817460
10/01/2019 08:00,-860670
10/01/2019 09:00,-871880
10/01/2019 10:00,-867190
10/01/2019 11:00,-860660
10/01/2019 12:00,-867400
10/01/2019 13:00,-867610
10/01/2019 14:00,-866370
10/01/2019 15:00,-881880
10/01/2019 16:00,-905370
10/01/2019 17:00,-908100
10/01/2019 18:00,-903800
10/01/2019 19:00,-893780
10/01/2019 20:00,-841760
10/01/2019 21:00,-759480
10/01/2019 22:00,-669100
10/01/2019 23:00,-591130
11/01/2019 00:00,-577580
11/01/2019 01:00,-567540
11/01/2019 02:00,-550430
11/01/2019 03:00,-535160
11/01/2019 04:00,-526430
11/01/2019 05:00,-556500
11/01/2019 06:00,-663780
11/01/2019 07:00,-799000
11/01/2019 08:00,-842280
11/01/2019 09:00,-845160
11/01/2019 10:00,-830480
11/01/2019 11:00,-829240
11/01/2019 12:00,-831940
11/01/2019 13:00,-828310
11/01/2019 14:00,-824270
11/01/2019 15:00,-828260
11/01/2019 16:00,-878950
11/01/2019 17:00,-899670
11/01/2019 18:00,-882490
11/01/2019 19:00,-837160
11/01/2019 20:00,-777070
11/01/2019 21:00,-703300
11/01/2019 22:00,-624450
11/01/2019 23:00,-551790
12/01/2019 00:00,-526040
12/01/2019 01:00,-506840
12/01/2019 02:00,-480280
12/01/2019 03:00,-454250
12/01/2019 04:00,-438660
12/01/2019 05:00,-443570
12/01/2019 06:00,-486920
12/01/2019 07:00,-542670
12/01/2019 08:00,-610870
12/01/2019 09:00,-669810
12/01/2019 10:00,-695930
12/01/2019 11:00,-703070
12/01/2019 12:00,-703440
12/01/2019 13:00,-691230
12/01/2019 14:00,-679460
12/01/2019 15:00,-689400
12/01/2019 16:00,-735070
12/01/2019 17:00,-771400
12/01/2019 18:00,-765150
12/01/2019 19:00,-718410
12/01/2019 20:00,-663410
12/01/2019 21:00,-607900
12/01/2019 22:00,-549240
12/01/2019 23:00,-494170
13/01/2019 00:00,-476860
13/01/2019 01:00,-458220
13/01/2019 02:00,-429840
13/01/2019 03:00,-410920
13/01/2019 04:00,-395450
13/01/2019 05:00,-395500
13/01/2019 06:00,-420730
13/01/2019 07:00,-458620
13/01/2019 08:00,-516150
13/01/2019 09:00,-581910
13/01/2019 10:00,-620950
13/01/2019 11:00,-635980
13/01/2019 12:00,-647640
13/01/2019 13:00,-649110
13/01/2019 14:00,-655300
13/01/2019 15:00,-674180
13/01/2019 16:00,-734100
13/01/2019 17:00,-770430
13/01/2019 18:00,-747770
13/01/2019 19:00,-714000
13/01/2019 20:00,-666890
13/01/2019 21:00,-609600
13/01/2019 22:00,-542730
13/01/2019 23:00,-490210
14/01/2019 00:00,-484810
14/01/2019 01:00,-485570
14/01/2019 02:00,-473030
14/01/2019 03:00,-463490
14/01/2019 04:00,-463270
14/01/2019 05:00,-502940
14/01/2019 06:00,-624170
14/01/2019 07:00,-766190
14/01/2019 08:00,-810630
14/01/2019 09:00,-815460
14/01/2019 10:00,-807630
14/01/2019 11:00,-801980
14/01/2019 12:00,-808460
14/01/2019 13:00,-811400
14/01/2019 14:00,-817290
14/01/2019 15:00,-828490
14/01/2019 16:00,-874440
14/01/2019 17:00,-896470
14/01/2019 18:00,-887370
14/01/2019 19:00,-852140
14/01/2019 20:00,-800340
14/01/2019 21:00,-713210
14/01/2019 22:00,-620610
14/01/2019 23:00,-542190
15/01/2019 00:00,-522700
15/01/2019 01:00,-512380
15/01/2019 02:00,-494490
15/01/2019 03:00,-478040
15/01/2019 04:00,-472240
15/01/2019 05:00,-504710
15/01/2019 06:00,-620390
15/01/2019 07:00,-748660
15/01/2019 08:00,-786910
15/01/2019 09:00,-794420
15/01/2019 10:00,-781460
15/01/2019 11:00,-770380
15/01/2019 12:00,-776280
15/01/2019 13:00,-776080
15/01/2019 14:00,-781610
15/01/2019 15:00,-798460
15/01/2019 16:00,-856980
15/01/2019 17:00,-884370
15/01/2019 18:00,-872520
15/01/2019 19:00,-831110
15/01/2019 20:00,-772240
15/01/2019 21:00,-689340
15/01/2019 22:00,-597930
15/01/2019 23:00,-520860
16/01/2019 00:00,-502290
16/01/2019 01:00,-495380
16/01/2019 02:00,-476950
16/01/2019 03:00,-461820
16/01/2019 04:00,-456750
16/01/2019 05:00,-488230
16/01/2019 06:00,-604120
16/01/2019 07:00,-735560
16/01/2019 08:00,-774570
16/01/2019 09:00,-784890
16/01/2019 10:00,-783020
16/01/2019 11:00,-796400
16/01/2019 12:00,-804090
16/01/2019 13:00,-802450
16/01/2019 14:00,-800140
16/01/2019 15:00,-810400
16/01/2019 16:00,-869220
16/01/2019 17:00,-896980
16/01/2019 18:00,-884950
16/01/2019 19:00,-847860
16/01/2019 20:00,-801480
16/01/2019 21:00,-727890
16/01/2019 22:00,-638710
16/01/2019 23:00,-561990
17/01/2019 00:00,-545530
17/01/2019 01:00,-535570
17/01/2019 02:00,-521020
17/01/2019 03:00,-504200
17/01/2019 04:00,-495630
17/01/2019 05:00,-521500
17/01/2019 06:00,-632640
17/01/2019 07:00,-769610
17/01/2019 08:00,-814220
17/01/2019 09:00,-811370
17/01/2019 10:00,-780650
17/01/2019 11:00,-757960
17/01/2019 12:00,-751310
17/01/2019 13:00,-756270
17/01/2019 14:00,-782470
17/01/2019 15:00,-828670
17/01/2019 16:00,-884760
17/01/2019 17:00,-904670
17/01/2019 18:00,-907260
17/01/2019 19:00,-904130
17/01/2019 20:00,-870550
17/01/2019 21:00,-793930
17/01/2019 22:00,-702370
17/01/2019 23:00,-625720
18/01/2019 00:00,-606350
18/01/2019 01:00,-597770
18/01/2019 02:00,-580400
18/01/2019 03:00,-564790
18/01/2019 04:00,-557150
18/01/2019 05:00,-585440
18/01/2019 06:00,-697050
18/01/2019 07:00,-830350
18/01/2019 08:00,-870370
18/01/2019 09:00,-884780
18/01/2019 10:00,-871010
18/01/2019 11:00,-860120
18/01/2019 12:00,-850690
18/01/2019 13:00,-839310
18/01/2019 14:00,-836880
18/01/2019 15:00,-841610
18/01/2019 16:00,-878030
18/01/2019 17:00,-898500
18/01/2019 18:00,-893530
18/01/2019 19:00,-869270
18/01/2019 20:00,-808980
18/01/2019 21:00,-736510
18/01/2019 22:00,-662270
18/01/2019 23:00,-596930
19/01/2019 00:00,-582080
19/01/2019 01:00,-569120
19/01/2019 02:00,-548870
19/01/2019 03:00,-531930
19/01/2019 04:00,-518550
19/01/2019 05:00,-529730
19/01/2019 06:00,-571060
19/01/2019 07:00,-634470
19/01/2019 08:00,-710280
19/01/2019 09:00,-773790
19/01/2019 10:00,-797830
19/01/2019 11:00,-803180
19/01/2019 12:00,-803580
19/01/2019 13:00,-794130
19/01/2019 14:00,-785680
19/01/2019 15:00,-787390
19/01/2019 16:00,-827070
19/01/2019 17:00,-866620
19/01/2019 18:00,-851140
19/01/2019 19:00,-814960
19/01/2019 20:00,-772710
19/01/2019 21:00,-719220
19/01/2019 22:00,-662310
19/01/2019 23:00,-606860
20/01/2019 00:00,-593300
20/01/2019 01:00,-577340
20/01/2019 02:00,-556800
20/01/2019 03:00,-538070
20/01/2019 04:00,-521060
20/01/2019 05:00,-525120
20/01/2019 06:00,-551450
20/01/2019 07:00,-588130
20/01/2019 08:00,-647840
20/01/2019 09:00,-710570
20/01/2019 10:00,-738000
20/01/2019 11:00,-742240
20/01/2019 12:00,-744360
20/01/2019 13:00,-741960
20/01/2019 14:00,-748240
20/01/2019 15:00,-776080
20/01/2019 16:00,-841950
20/01/2019 17:00,-891860
20/01/2019 18:00,-871910
20/01/2019 19:00,-836310
20/01/2019 20:00,-787130
20/01/2019 21:00,-725810
20/01/2019 22:00,-653760
20/01/2019 23:00,-586580
21/01/2019 00:00,-576830
21/01/2019 01:00,-575560
21/01/2019 02:00,-561870
21/01/2019 03:00,-551370
21/01/2019 04:00,-549080
21/01/2019 05:00,-582260
21/01/2019 06:00,-699980
21/01/2019 07:00,-823720
21/01/2019 08:00,-870400
21/01/2019 09:00,-884210
21/01/2019 10:00,-872110
21/01/2019 11:00,-857100
21/01/2019 12:00,-850000
21/01/2019 13:00,-844380
21/01/2019 14:00,-845340
21/01/2019 15:00,-857790
21/01/2019 16:00,-889720
21/01/2019 17:00,-900690
21/01/2019 18:00,-891210
21/01/2019 19:00,-876270
21/01/2019 20:00,-815500
21/01/2019 21:00,-734000
21/01/2019 22:00,-651730
21/01/2019 23:00,-579410
22/01/2019 00:00,-568530
22/01/2019 01:00,-562070
22/01/2019 02:00,-552250
22/01/2019 03:00,-538190
22/01/2019 04:00,-532460
22/01/2019 05:00,-572080
22/01/2019 06:00,-691190
22/01/2019 07:00,-825270
22/01/2019 08:00,-864230
22/01/2019 09:00,-864170
22/01/2019 10:00,-849540
22/01/2019 11:00,-839680
22/01/2019 12:00,-835330
22/01/2019 13:00,-856140
22/01/2019 14:00,-864310
22/01/2019 15:00,-880250
22/01/2019 16:00,-910260
22/01/2019 17:00,-929010
22/01/2019 18:00,-926600
22/01/2019 19:00,-913650
22/01/2019 20:00,-875460
22/01/2019 21:00,-800520
22/01/2019 22:00,-710170
22/01/2019 23:00,-627200
23/01/2019 00:00,-609770
23/01/2019 01:00,-603050
23/01/2019 02:00,-590070
23/01/2019 03:00,-574620
23/01/2019 04:00,-567900
23/01/2019 05:00,-600740
23/01/2019 06:00,-714780
23/01/2019 07:00,-839930
23/01/2019 08:00,-875890
23/01/2019 09:00,-882980
23/01/2019 10:00,-858790
23/01/2019 11:00,-848600
23/01/2019 12:00,-842000
23/01/2019 13:00,-831540
23/01/2019 14:00,-840030
23/01/2019 15:00,-871630
23/01/2019 16:00,-907890
23/01/2019 17:00,-943330
23/01/2019 18:00,-938190
23/01/2019 19:00,-922420
23/01/2019 20:00,-896380
23/01/2019 21:00,-817810
23/01/2019 22:00,-723280
23/01/2019 23:00,-640820
24/01/2019 00:00,-623250
24/01/2019 01:00,-615950
24/01/2019 02:00,-599990
24/01/2019 03:00,-588330
24/01/2019 04:00,-580090
24/01/2019 05:00,-612030
24/01/2019 06:00,-721360
24/01/2019 07:00,-844850
24/01/2019 08:00,-882460
24/01/2019 09:00,-901380
24/01/2019 10:00,-902120
24/01/2019 11:00,-896490
24/01/2019 12:00,-893360
24/01/2019 13:00,-877770
24/01/2019 14:00,-872590
24/01/2019 15:00,-883200
24/01/2019 16:00,-911200
24/01/2019 17:00,-927030
24/01/2019 18:00,-925090
24/01/2019 19:00,-910160
24/01/2019 20:00,-867950
24/01/2019 21:00,-786830
24/01/2019 22:00,-691450
24/01/2019 23:00,-609790
25/01/2019 00:00,-591090
25/01/2019 01:00,-579740
25/01/2019 02:00,-557570
25/01/2019 03:00,-539580
25/01/2019 04:00,-529150
25/01/2019 05:00,-555530
25/01/2019 06:00,-665150
25/01/2019 07:00,-786400
25/01/2019 08:00,-821150
25/01/2019 09:00,-827130
25/01/2019 10:00,-809990
25/01/2019 11:00,-795710
25/01/2019 12:00,-780080
25/01/2019 13:00,-764190
25/01/2019 14:00,-761870
25/01/2019 15:00,-773580
25/01/2019 16:00,-818620
25/01/2019 17:00,-873120
25/01/2019 18:00,-855510
25/01/2019 19:00,-811080
25/01/2019 20:00,-752990
25/01/2019 21:00,-678180
25/01/2019 22:00,-605860
25/01/2019 23:00,-542880
26/01/2019 00:00,-528430
26/01/2019 01:00,-513920
26/01/2019 02:00,-490520
26/01/2019 03:00,-469620
26/01/2019 04:00,-457680
26/01/2019 05:00,-467440
26/01/2019 06:00,-514010
26/01/2019 07:00,-563030
26/01/2019 08:00,-632060
26/01/2019 09:00,-678610
26/01/2019 10:00,-692730
26/01/2019 11:00,-689360
26/01/2019 12:00,-685510
26/01/2019 13:00,-675870
26/01/2019 14:00,-675830
26/01/2019 15:00,-687640
26/01/2019 16:00,-730630
26/01/2019 17:00,-787880
26/01/2019 18:00,-775500
26/01/2019 19:00,-736490
26/01/2019 20:00,-685090
26/01/2019 21:00,-629180
26/01/2019 22:00,-570970
26/01/2019 23:00,-522810
27/01/2019 00:00,-511270
27/01/2019 01:00,-490930
27/01/2019 02:00,-463150
27/01/2019 03:00,-442150
27/01/2019 04:00,-421900
27/01/2019 05:00,-419180
27/01/2019 06:00,-448530
27/01/2019 07:00,-486480
27/01/2019 08:00,-540390
27/01/2019 09:00,-589280
27/01/2019 10:00,-611060
27/01/2019 11:00,-627830
27/01/2019 12:00,-648320
27/01/2019 13:00,-658890
27/01/2019 14:00,-669990
27/01/2019 15:00,-697510
27/01/2019 16:00,-752360
27/01/2019 17:00,-812150
27/01/2019 18:00,-793000
27/01/2019 19:00,-759300
27/01/2019 20:00,-716910
27/01/2019 21:00,-660050
27/01/2019 22:00,-593960
27/01/2019 23:00,-530940
28/01/2019 00:00,-524320
28/01/2019 01:00,-521680
28/01/2019 02:00,-509990
28/01/2019 03:00,-503560
28/01/2019 04:00,-502400
28/01/2019 05:00,-538780
28/01/2019 06:00,-661170
28/01/2019 07:00,-789930
28/01/2019 08:00,-827440
28/01/2019 09:00,-838090
28/01/2019 10:00,-805620
28/01/2019 11:00,-783420
28/01/2019 12:00,-780080
28/01/2019 13:00,-782090
28/01/2019 14:00,-792220
28/01/2019 15:00,-820020
28/01/2019 16:00,-871660
28/01/2019 17:00,-921060
28/01/2019 18:00,-919360
28/01/2019 19:00,-889160
28/01/2019 20:00,-854900
28/01/2019 21:00,-770790
28/01/2019 22:00,-677010
28/01/2019 23:00,-599250
29/01/2019 00:00,-586010
29/01/2019 01:00,-582680
29/01/2019 02:00,-571130
29/01/2019 03:00,-559270
29/01/2019 04:00,-554530
29/01/2019 05:00,-586090
29/01/2019 06:00,-701610
29/01/2019 07:00,-835420
29/01/2019 08:00,-872880
29/01/2019 09:00,-881500
29/01/2019 10:00,-871570
29/01/2019 11:00,-881750
29/01/2019 12:00,-890090
29/01/2019 13:00,-880660
29/01/2019 14:00,-877670
29/01/2019 15:00,-890400
29/01/2019 16:00,-919120
29/01/2019 17:00,-926810
29/01/2019 18:00,-924050
29/01/2019 19:00,-919100
29/01/2019 20:00,-869560
29/01/2019 21:00,-791120
29/01/2019 22:00,-695180
29/01/2019 23:00,-616080
30/01/2019 00:00,-600970
30/01/2019 01:00,-596430
30/01/2019 02:00,-582000
30/01/2019 03:00,-571490
30/01/2019 04:00,-567500
30/01/2019 05:00,-602200
30/01/2019 06:00,-721940
30/01/2019 07:00,-855440
30/01/2019 08:00,-889070
30/01/2019 09:00,-894130
30/01/2019 10:00,-874890
30/01/2019 11:00,-845970
30/01/2019 12:00,-830320
30/01/2019 13:00,-827790
30/01/2019 14:00,-835890
30/01/2019 15:00,-869290
30/01/2019 16:00,-907850
30/01/2019 17:00,-932420
30/01/2019 18:00,-939370
30/01/2019 19:00,-923310
30/01/2019 20:00,-888490
30/01/2019 21:00,-820250
30/01/2019 22:00,-731460
30/01/2019 23:00,-654550
31/01/2019 00:00,-636490
31/01/2019 01:00,-626600
31/01/2019 02:00,-614630
31/01/2019 03:00,-604680
31/01/2019 04:00,-598620
31/01/2019 05:00,-627850
31/01/2019 06:00,-744040
31/01/2019 07:00,-873680
31/01/2019 08:00,-906740
31/01/2019 09:00,-915890
31/01/2019 10:00,-897930
31/01/2019 11:00,-888780
31/01/2019 12:00,-894100
31/01/2019 13:00,-890190
31/01/2019 14:00,-894390
31/01/2019 15:00,-905790
31/01/2019 16:00,-933000
31/01/2019 17:00,-937280
31/01/2019 18:00,-932940
31/01/2019 19:00,-927330
31/01/2019 20:00,-876220
31/01/2019 21:00,-792880
31/01/2019 22:00,-698790
31/01/2019 23:00,-620950
01/02/2019 00:00,-607300
01/02/2019 01:00,-599640
01/02/2019 02:00,-582290
01/02/2019 03:00,-570520
01/02/2019 04:00,-564130
01/02/2019 05:00,-590430
01/02/2019 06:00,-699600
01/02/2019 07:00,-821890
01/02/2019 08:00,-874220
01/02/2019 09:00,-896740
01/02/2019 10:00,-897950
01/02/2019 11:00,-899050
01/02/2019 12:00,-900380
01/02/2019 13:00,-888080
01/02/2019 14:00,-877610
01/02/2019 15:00,-877190
01/02/2019 16:00,-897060
01/02/2019 17:00,-915270
01/02/2019 18:00,-915470
01/02/2019 19:00,-893600
01/02/2019 20:00,-835450
01/02/2019 21:00,-761170
01/02/2019 22:00,-688540
01/02/2019 23:00,-618970
02/02/2019 00:00,-602040
02/02/2019 01:00,-588230
02/02/2019 02:00,-567400
02/02/2019 03:00,-553280
02/02/2019 04:00,-539270
02/02/2019 05:00,-542170
02/02/2019 06:00,-588140
02/02/2019 07:00,-644940
02/02/2019 08:00,-713860
02/02/2019 09:00,-756130
02/02/2019 10:00,-747020
02/02/2019 11:00,-732640
02/02/2019 12:00,-711920
02/02/2019 13:00,-696510
02/02/2019 14:00,-701820
02/02/2019 15:00,-733340
02/02/2019 16:00,-790560
02/02/2019 17:00,-855490
02/02/2019 18:00,-852430
02/02/2019 19:00,-826830
02/02/2019 20:00,-783770
02/02/2019 21:00,-730160
02/02/2019 22:00,-672720
02/02/2019 23:00,-620960
03/02/2019 00:00,-606680
03/02/2019 01:00,-596370
03/02/2019 02:00,-573250
03/02/2019 03:00,-560220
03/02/2019 04:00,-545870
03/02/2019 05:00,-547310
03/02/2019 06:00,-574070
03/02/2019 07:00,-602970
03/02/2019 08:00,-646550
03/02/2019 09:00,-687290
03/02/2019 10:00,-702920
03/02/2019 11:00,-697200
03/02/2019 12:00,-699050
03/02/2019 13:00,-701590
03/02/2019 14:00,-717770
03/02/2019 15:00,-758990
03/02/2019 16:00,-810140
03/02/2019 17:00,-866780
03/02/2019 18:00,-854260
03/02/2019 19:00,-812620
03/02/2019 20:00,-755090
03/02/2019 21:00,-681210
03/02/2019 22:00,-601430
03/02/2019 23:00,-531780
04/02/2019 00:00,-517890
04/02/2019 01:00,-508950
04/02/2019 02:00,-499030
04/02/2019 03:00,-487630
04/02/2019 04:00,-484320
04/02/2019 05:00,-522020
04/02/2019 06:00,-640850
04/02/2019 07:00,-775510
04/02/2019 08:00,-822810
04/02/2019 09:00,-843540
04/02/2019 10:00,-829960
04/02/2019 11:00,-830190
04/02/2019 12:00,-824070
04/02/2019 13:00,-802090
04/02/2019 14:00,-797700
04/02/2019 15:00,-814910
04/02/2019 16:00,-864340
04/02/2019 17:00,-894690
04/02/2019 18:00,-897370
04/02/2019 19:00,-884040
04/02/2019 20:00,-842810
04/02/2019 21:00,-767560
04/02/2019 22:00,-683710
04/02/2019 23:00,-609000
05/02/2019 00:00,-597310
05/02/2019 01:00,-593160
05/02/2019 02:00,-579710
05/02/2019 03:00,-566970
05/02/2019 04:00,-563190
05/02/2019 05:00,-592940
05/02/2019 06:00,-703620
05/02/2019 07:00,-827240
05/02/2019 08:00,-857910
05/02/2019 09:00,-864440
05/02/2019 10:00,-853770
05/02/2019 11:00,-848900
05/02/2019 12:00,-856840
05/02/2019 13:00,-856190
05/02/2019 14:00,-854320
05/02/2019 15:00,-858480
05/02/2019 16:00,-890930
05/02/2019 17:00,-902510
05/02/2019 18:00,-887250
05/02/2019 19:00,-862480
05/02/2019 20:00,-800030
05/02/2019 21:00,-718710
05/02/2019 22:00,-634750
05/02/2019 23:00,-560900
06/02/2019 00:00,-546480
06/02/2019 01:00,-543660
06/02/2019 02:00,-531340
06/02/2019 03:00,-524180
06/02/2019 04:00,-522840
06/02/2019 05:00,-556210
06/02/2019 06:00,-672930
06/02/2019 07:00,-794730
06/02/2019 08:00,-817410
06/02/2019 09:00,-820610
