local_time,region2
01/01/2019 00:00,-4821000
01/01/2019 01:00,-4734400
01/01/2019 02:00,-4430300
01/01/2019 03:00,-4159800
01/01/2019 04:00,-4042600
01/01/2019 05:00,-4054200
01/01/2019 06:00,-4269300
01/01/2019 07:00,-4483300
01/01/2019 08:00,-4715200
01/01/2019 09:00,-5131700
01/01/2019 10:00,-5529200
01/01/2019 11:00,-5789400
01/01/2019 12:00,-6000200
01/01/2019 13:00,-6090000
01/01/2019 14:00,-6180800
01/01/2019 15:00,-6422900
01/01/2019 16:00,-7056800
01/01/2019 17:00,-7367800
01/01/2019 18:00,-7204500
01/01/2019 19:00,-6924800
01/01/2019 20:00,-6551100
01/01/2019 21:00,-6099100
01/01/2019 22:00,-5565900
01/01/2019 23:00,-5056300
02/01/2019 00:00,-5002100
02/01/2019 01:00,-4964900
02/01/2019 02:00,-4818200
02/01/2019 03:00,-4698300
02/01/2019 04:00,-4632900
02/01/2019 05:00,-4887800
02/01/2019 06:00,-5781300
02/01/2019 07:00,-6679300
02/01/2019 08:00,-7362500
02/01/2019 09:00,-7779500
02/01/2019 10:00,-7850800
02/01/2019 11:00,-7844200
02/01/2019 12:00,-7928400
02/01/2019 13:00,-8021600
02/01/2019 14:00,-8167800
02/01/2019 15:00,-8357400
02/01/2019 16:00,-8791000
02/01/2019 17:00,-8992400
02/01/2019 18:00,-8907300
02/01/2019 19:00,-8622300
02/01/2019 20:00,-8091500
02/01/2019 21:00,-7419900
02/01/2019 22:00,-6663100
02/01/2019 23:00,-5934100
03/01/2019 00:00,-5767000
03/01/2019 01:00,-5661800
03/01/2019 02:00,-5485900
03/01/2019 03:00,-5344600
03/01/2019 04:00,-5265100
03/01/2019 05:00,-5517400
03/01/2019 06:00,-6393600
03/01/2019 07:00,-7357600
03/01/2019 08:00,-8003700
03/01/2019 09:00,-8363600
03/01/2019 10:00,-8428600
03/01/2019 11:00,-8407900
03/01/2019 12:00,-8443600
03/01/2019 13:00,-8518600
03/01/2019 14:00,-8670000
03/01/2019 15:00,-8775700
03/01/2019 16:00,-8943600
03/01/2019 17:00,-8941200
03/01/2019 18:00,-8892500
03/01/2019 19:00,-8849200
03/01/2019 20:00,-8360600
03/01/2019 21:00,-7656600
03/01/2019 22:00,-6851700
03/01/2019 23:00,-6100900
04/01/2019 00:00,-5918100
04/01/2019 01:00,-5791100
04/01/2019 02:00,-5600300
04/01/2019 03:00,-5461500
04/01/2019 04:00,-5379600
04/01/2019 05:00,-5633800
04/01/2019 06:00,-6498800
04/01/2019 07:00,-7522600
04/01/2019 08:00,-8171200
04/01/2019 09:00,-8519600
04/01/2019 10:00,-8530200
04/01/2019 11:00,-8504500
04/01/2019 12:00,-8508000
04/01/2019 13:00,-8456400
04/01/2019 14:00,-8500100
04/01/2019 15:00,-8640000
04/01/2019 16:00,-8791700
04/01/2019 17:00,-8927400
04/01/2019 18:00,-8921900
04/01/2019 19:00,-8725600
04/01/2019 20:00,-8133900
04/01/2019 21:00,-7457900
04/01/2019 22:00,-6718100
04/01/2019 23:00,-6071600
05/01/2019 00:00,-5884500
05/01/2019 01:00,-5721300
05/01/2019 02:00,-5498100
05/01/2019 03:00,-5311700
05/01/2019 04:00,-5194900
05/01/2019 05:00,-5248000
05/01/2019 06:00,-5629000
05/01/2019 07:00,-6112100
05/01/2019 08:00,-6756500
05/01/2019 09:00,-7369800
05/01/2019 10:00,-7560000
05/01/2019 11:00,-7660100
05/01/2019 12:00,-7728600
05/01/2019 13:00,-7802100
05/01/2019 14:00,-7793700
05/01/2019 15:00,-7882500
05/01/2019 16:00,-8327400
05/01/2019 17:00,-8585600
05/01/2019 18:00,-8408500
05/01/2019 19:00,-7973600
05/01/2019 20:00,-7445700
05/01/2019 21:00,-6904800
05/01/2019 22:00,-6319100
05/01/2019 23:00,-5772900
06/01/2019 00:00,-5615800
06/01/2019 01:00,-5395400
06/01/2019 02:00,-5159400
06/01/2019 03:00,-5017400
06/01/2019 04:00,-4850900
06/01/2019 05:00,-4869100
06/01/2019 06:00,-5105400
06/01/2019 07:00,-5439900
06/01/2019 08:00,-5955000
06/01/2019 09:00,-6614400
06/01/2019 10:00,-7077600
06/01/2019 11:00,-7264900
06/01/2019 12:00,-7431000
06/01/2019 13:00,-7482000
06/01/2019 14:00,-7547000
06/01/2019 15:00,-7768700
06/01/2019 16:00,-8274600
06/01/2019 17:00,-8483900
06/01/2019 18:00,-8337200
06/01/2019 19:00,-7920500
06/01/2019 20:00,-7411700
06/01/2019 21:00,-6751800
06/01/2019 22:00,-6036900
06/01/2019 23:00,-5345100
07/01/2019 00:00,-5208100
07/01/2019 01:00,-5135600
07/01/2019 02:00,-4921100
07/01/2019 03:00,-4753800
07/01/2019 04:00,-4630100
07/01/2019 05:00,-4886400
07/01/2019 06:00,-5999600
07/01/2019 07:00,-7175100
07/01/2019 08:00,-7646400
07/01/2019 09:00,-7830700
07/01/2019 10:00,-7809700
07/01/2019 11:00,-7789600
07/01/2019 12:00,-7791600
07/01/2019 13:00,-7787300
07/01/2019 14:00,-7753100
07/01/2019 15:00,-7848400
07/01/2019 16:00,-8386800
07/01/2019 17:00,-8577800
07/01/2019 18:00,-8387300
07/01/2019 19:00,-7994800
07/01/2019 20:00,-7418700
07/01/2019 21:00,-6629400
07/01/2019 22:00,-5798100
07/01/2019 23:00,-5092700
08/01/2019 00:00,-4965100
08/01/2019 01:00,-4903400
08/01/2019 02:00,-4736100
08/01/2019 03:00,-4607200
08/01/2019 04:00,-4565000
08/01/2019 05:00,-4887700
08/01/2019 06:00,-6043800
08/01/2019 07:00,-7326300
08/01/2019 08:00,-7638600
08/01/2019 09:00,-7725900
08/01/2019 10:00,-7638400
08/01/2019 11:00,-7476300
08/01/2019 12:00,-7361300
08/01/2019 13:00,-7370000
08/01/2019 14:00,-7560700
08/01/2019 15:00,-7883900
08/01/2019 16:00,-8623200
08/01/2019 17:00,-8986900
08/01/2019 18:00,-8864900
08/01/2019 19:00,-8539100
08/01/2019 20:00,-8078500
08/01/2019 21:00,-7283700
08/01/2019 22:00,-6452800
08/01/2019 23:00,-5716700
09/01/2019 00:00,-5553900
09/01/2019 01:00,-5464600
09/01/2019 02:00,-5303400
09/01/2019 03:00,-5167700
09/01/2019 04:00,-5117900
09/01/2019 05:00,-5477400
09/01/2019 06:00,-6648700
09/01/2019 07:00,-8001300
09/01/2019 08:00,-8406700
09/01/2019 09:00,-8510300
09/01/2019 10:00,-8292600
09/01/2019 11:00,-8141300
09/01/2019 12:00,-8104100
09/01/2019 13:00,-8169400
09/01/2019 14:00,-8327100
09/01/2019 15:00,-8595200
09/01/2019 16:00,-9003300
09/01/2019 17:00,-9072500
09/01/2019 18:00,-9015700
09/01/2019 19:00,-8978100
09/01/2019 20:00,-8558700
09/01/2019 21:00,-7766700
09/01/2019 22:00,-6863500
09/01/2019 23:00,-6094600
10/01/2019 00:00,-5928800
10/01/2019 01:00,-5861800
10/01/2019 02:00,-5693500
10/01/2019 03:00,-5579800
10/01/2019 04:00,-5508900
10/01/2019 05:00,-5809200
10/01/2019 06:00,-6927700
10/01/2019 07:00,-8174600
10/01/2019 08:00,-8606700
10/01/2019 09:00,-8718800
10/01/2019 10:00,-8671900
10/01/2019 11:00,-8606600
10/01/2019 12:00,-8674000
10/01/2019 13:00,-8676100
10/01/2019 14:00,-8663700
10/01/2019 15:00,-8818800
10/01/2019 16:00,-9053700
10/01/2019 17:00,-9081000
10/01/2019 18:00,-9038000
10/01/2019 19:00,-8937800
10/01/2019 20:00,-8417600
10/01/2019 21:00,-7594800
10/01/2019 22:00,-6691000
10/01/2019 23:00,-5911300
11/01/2019 00:00,-5775800
11/01/2019 01:00,-5675400
11/01/2019 02:00,-5504300
11/01/2019 03:00,-5351600
11/01/2019 04:00,-5264300
11/01/2019 05:00,-5565000
11/01/2019 06:00,-6637800
11/01/2019 07:00,-7990000
11/01/2019 08:00,-8422800
11/01/2019 09:00,-8451600
11/01/2019 10:00,-8304800
11/01/2019 11:00,-8292400
11/01/2019 12:00,-8319400
11/01/2019 13:00,-8283100
11/01/2019 14:00,-8242700
11/01/2019 15:00,-8282600
11/01/2019 16:00,-8789500
11/01/2019 17:00,-8996700
11/01/2019 18:00,-8824900
11/01/2019 19:00,-8371600
11/01/2019 20:00,-7770700
11/01/2019 21:00,-7033000
11/01/2019 22:00,-6244500
11/01/2019 23:00,-5517900
12/01/2019 00:00,-5260400
12/01/2019 01:00,-5068400
12/01/2019 02:00,-4802800
12/01/2019 03:00,-4542500
12/01/2019 04:00,-4386600
12/01/2019 05:00,-4435700
12/01/2019 06:00,-4869200
12/01/2019 07:00,-5426700
12/01/2019 08:00,-6108700
12/01/2019 09:00,-6698100
12/01/2019 10:00,-6959300
12/01/2019 11:00,-7030700
12/01/2019 12:00,-7034400
12/01/2019 13:00,-6912300
12/01/2019 14:00,-6794600
12/01/2019 15:00,-6894000
12/01/2019 16:00,-7350700
12/01/2019 17:00,-7714000
12/01/2019 18:00,-7651500
12/01/2019 19:00,-7184100
12/01/2019 20:00,-6634100
12/01/2019 21:00,-6079000
12/01/2019 22:00,-5492400
12/01/2019 23:00,-4941700
13/01/2019 00:00,-4768600
13/01/2019 01:00,-4582200
13/01/2019 02:00,-4298400
13/01/2019 03:00,-4109200
13/01/2019 04:00,-3954500
13/01/2019 05:00,-3955000
13/01/2019 06:00,-4207300
13/01/2019 07:00,-4586200
13/01/2019 08:00,-5161500
13/01/2019 09:00,-5819100
13/01/2019 10:00,-6209500
13/01/2019 11:00,-6359800
13/01/2019 12:00,-6476400
13/01/2019 13:00,-6491100
13/01/2019 14:00,-6553000
13/01/2019 15:00,-6741800
13/01/2019 16:00,-7341000
13/01/2019 17:00,-7704300
13/01/2019 18:00,-7477700
13/01/2019 19:00,-7140000
13/01/2019 20:00,-6668900
13/01/2019 21:00,-6096000
13/01/2019 22:00,-5427300
13/01/2019 23:00,-4902100
14/01/2019 00:00,-4848100
14/01/2019 01:00,-4855700
14/01/2019 02:00,-4730300
14/01/2019 03:00,-4634900
