,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,1000000.0,0.0,455063091.9100001,-0.0,443686514.31409997,0.0,744000000.0,0.0,0.0,23582647.0,,0.6116439407392474,23582647.0,inf,inf,0.05182280747273622
1,0.044,0.01,0.054,0.0,1000000.0,0.0,455063091.9100001,-0.0,443686514.31409997,0.0,744000000.0,0.0,0.0,23582647.0,,0.6116439407392474,23582647.0,inf,inf,0.05182280747273622
2,0.044,0.02,0.064,0.0,1000000.0,0.0,455063091.9100001,-0.0,443686514.31409997,0.0,744000000.0,0.0,0.0,23582647.0,,0.6116439407392474,23582647.0,inf,inf,0.05182280747273622
3,0.044,0.03,0.074,194727.39,1000000.0,0.0,455063091.9100001,184038708.20409998,259647806.9832,128827093.95920002,615172906.04,962537.16,0.0,23582647.0,0.8892159247947629,0.6116439407392474,24545184.16,0.19052812110916312,0.22052812110916312,0.05182280747273622
4,0.044,0.04,0.08399999999999999,578936.63,1000000.0,0.0,455063091.9100001,418281526.16410005,25404988.969450004,292797068.08919996,451202931.91,2861682.7,0.0,23582647.0,0.6797711976809129,0.6116439407392474,26444329.7,0.09031623804355784,0.13031623804355785,0.05182280747273622
5,0.044,0.05,0.094,638923.35,1000000.0,0.0,455063091.9100001,437160087.7341,6526427.42375,306012060.5492,437987939.45,3158197.0,0.0,23582647.0,0.6437494153191249,0.6116439407392474,26740844.0,0.08738493493363692,0.1373849349336369,0.05182280747273622
6,0.044,0.06,0.104,657603.47,1000000.0,0.0,455063091.9100001,441310011.40410006,2376503.352175,308917007.8292,435082992.16999996,3250532.8,0.0,23582647.0,0.6314003057625208,0.6116439407392474,26833179.8,0.08686209926918638,0.14686209926918636,0.05182280747273622
7,0.044,0.07,0.114,664212.01,1000000.0,0.0,455063091.9100001,442380150.79410005,1306363.9685,309666105.56920004,434333894.42999995,3283198.8,0.0,23582647.0,0.6266340830385918,0.6116439407392474,26865845.8,0.08675746333496089,0.15675746333496088,0.05182280747273622
8,0.044,0.08,0.124,668550.28,1000000.0,0.0,455063091.9100001,442950915.2341,735599.48823,310065640.0192,433934359.98,3304642.9,0.0,23582647.0,0.6233710537058257,0.6116439407392474,26887289.9,0.08671483205406143,0.16671483205406143,0.05182280747273622
9,0.044,0.09,0.134,670887.96,1000000.0,0.0,455063091.9100001,443211384.79410005,475129.66871999996,310247969.43920004,433752030.55999994,3316198.0,0.0,23582647.0,0.6215642309688432,0.6116439407392474,26898845.0,0.0867011153968936,0.1767011153968936,0.05182280747273622
10,0.044,0.1,0.14400000000000002,673633.26,1000000.0,0.0,455063091.9100001,443481006.0241,205508.1398,310436704.5992,433563295.4,3329768.0,0.0,23582647.0,0.6194077103823207,0.6116439407392474,26912415.0,0.0866921166256619,0.1866921166256619,0.05182280747273622
11,0.044,0.11,0.154,675020.87,1000000.0,0.0,455063091.9100001,443600178.74410003,86335.383075,310520125.4692,433479874.53,3336627.0,0.0,23582647.0,0.6183005275662771,0.6116439407392474,26919274.0,0.08669091563493549,0.1966909156349355,0.05182280747273622
12,0.044,0.12,0.16399999999999998,675462.61,1000000.0,0.0,455063091.75,443633597.4941,52916.738705,310543518.4792,433456481.52,3338810.5,0.0,23582647.0,0.6179427196673244,0.6116439405241936,26921457.5,0.0866914164940241,0.20669141649402412,0.05182280749095711
13,0.044,0.13,0.174,675606.84,1000000.0,0.0,455063091.9100001,443643325.0741,43189.30851,310550327.5492,433449672.45,3339523.4,0.0,23582647.0,0.6178243462318939,0.6116439407392474,26922170.4,0.08669181131594447,0.21669181131594448,0.05182280747273622
14,0.044,0.14,0.184,675819.49,1000000.0,0.0,455063091.9100001,443656215.0641,30299.41117,310559350.42920005,433440649.57,3340574.6,0.0,23582647.0,0.6176478896157278,0.6116439407392474,26923221.6,0.08669267746339468,0.2266926774633947,0.05182280747273622
15,0.044,0.15,0.194,675931.35,1000000.0,0.0,455063091.9100001,443662559.41409993,23954.95341,310563791.7492,433436208.25,3341127.5,0.0,23582647.0,0.6175545064980437,0.6116439407392474,26923774.5,0.08669321799671566,0.23669321799671567,0.05182280747273622
16,0.044,0.16,0.20400000000000001,675999.74,1000000.0,0.0,455063091.75,443666087.00409997,20427.367285,310566260.80920005,433433739.19,3341465.5,0.0,23582647.0,0.6174969385414835,0.6116439405241936,26924112.5,0.0866936171039556,0.2466936171039556,0.05182280749095711
17,0.044,0.17,0.21400000000000002,676126.7,1000000.0,0.0,455063091.9100001,443672299.2241,14214.999885000001,310570609.6292,433429390.37,3342093.1,0.0,23582647.0,0.6173896328794748,0.6116439407392474,26924740.1,0.08669442395771543,0.25669442395771547,0.05182280747273622
18,0.044,0.18,0.22399999999999998,676163.75,1000000.0,0.0,455063091.75,443674037.31409997,12477.101335,310571826.0392,433428173.96000004,3342276.2,0.0,23582647.0,0.6173582213667742,0.6116439405241936,26924923.2,0.08669467396119043,0.2666946739611904,0.05182280749095711
19,0.044,0.19,0.23399999999999999,676185.4,1000000.0,0.0,455063091.75,443674969.40409994,11544.889159999999,310572478.6792,433427521.32,3342383.2,0.0,23582647.0,0.617339752170025,0.6116439405241936,26925030.2,0.08669483630522105,0.27669483630522107,0.05182280749095711
20,0.044,0.2,0.244,676281.48,1000000.0,0.0,455063091.9100001,443678826.7241,7687.61759,310575178.7392,433424821.26,3342858.2,0.0,23582647.0,0.6172574123571926,0.6116439407392474,26925505.2,0.08669561202316885,0.28669561202316884,0.05182280747273622
21,0.044,0.21,0.254,676282.95,1000000.0,0.0,455063091.9100001,443678883.4241,7631.01884,310575218.42920005,433424781.56999993,3342865.4,0.0,23582647.0,0.6172561495401692,0.6116439407392474,26925512.4,0.0866956241266817,0.2966956241266817,0.05182280747273622
22,0.044,0.22,0.264,676363.78,1000000.0,0.0,455063091.9100001,443681880.6041,4633.852325000001,310577316.4792,433422683.52,3343265.0,0.0,23582647.0,0.6171865525920742,0.6116439407392474,26925912.0,0.08669632510590412,0.3066963251059041,0.05182280747273622
