,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,0.0,0.0,0.0,-0.0,0,0.0,744000000.0,0.0,0.0,0.0,,,0.0,,,
1,0.044,0.01,0.054,0.0,0.0,0.0,0.0,-0.0,0,0.0,744000000.0,0.0,0.0,0.0,,,0.0,,,
2,0.044,0.02,0.064,0.0,0.0,0.0,0.0,-0.0,0,0.0,744000000.0,0.0,0.0,0.0,,,0.0,,,
3,0.044,0.03,0.074,0.0,0.0,0.0,0.0,-0.0,0,0.0,744000000.0,0.0,0.0,0.0,,,0.0,,,
4,0.044,0.04,0.08399999999999999,167197.4,263822.33,0.0,186310260.736,181652503.05699998,0,118074126.63039997,625925873.3899999,3330843.1,0.0,6130771.0,0.9491881040337727,0.9491881036691608,9461614.1,0.0801328315526491,0.12013283155264909,0.032906244539517064
5,0.044,0.05,0.094,317331.05,500719.61,0.0,338455219.946,329993839.67700005,0,214495993.95039994,529504006.07000005,6321748.8,0.0,11635851.0,0.908518303322774,0.9085183023587717,17957599.8,0.08371997755889332,0.1337199775588933,0.03437929248618616
6,0.044,0.06,0.104,418925.57,661026.53,0.0,430728509.5960001,419960298.757,0,272974196.6504,471025803.37,8345676.1,0.0,15361104.0,0.8758138156844003,0.8758138176569525,23706780.1,0.08684623085588358,0.14684623085588358,0.03566307699113736
7,0.044,0.07,0.114,475220.93,749855.51,0.0,477422387.96599996,465486832.177,0,302566438.6704,441433561.35,9467171.0,0.0,17425335.0,0.8557605423514246,0.8557605424794666,26892506.0,0.08888132510061793,0.15888132510061792,0.036498780616967964
8,0.044,0.08,0.124,499514.77,788188.99,0.0,495642131.056,483251075.3669999,0,314113199.4404,429886800.58000004,9951143.6,0.0,18316138.0,0.8452105641204004,0.845210563042127,28267281.6,0.08999074744505746,0.16999074744505746,0.03695436052011195
9,0.044,0.09,0.134,517546.64,816641.64,0.0,508212829.696,495507509.3369999,0,322079881.0604,421920118.96000004,10310368.0,0.0,18977328.0,0.8364522778882263,0.8364522783140057,29287696.0,0.0909330191739224,0.1809330191739224,0.03734130051646228
10,0.044,0.1,0.14400000000000002,529599.27,835659.59,0.0,515954274.266,503055417.27699995,0,326986023.2004,417013976.82000005,10550476.0,0.0,19419272.0,0.8298677281244937,0.8298677309224463,29969748.0,0.09165452304862717,0.19165452304862718,0.03763758334520242
11,0.044,0.11,0.154,538756.11,850108.26,0.0,521490856.3759999,508453583.71699995,0,330494830.36039996,413505169.65999997,10732895.0,0.0,19755034.0,0.8245168331681738,0.8245168331829281,30487929.0,0.0922493370524233,0.20224933705242332,0.037881841567240115
12,0.044,0.12,0.16399999999999998,546087.61,861676.71,0.0,525611549.296,512471259.737,0,333106317.63040006,410893682.39,10878950.0,0.0,20023865.0,0.8198749376535949,0.8198749344757591,30902815.0,0.09277162684824365,0.21277162684824363,0.0380963185204355
13,0.044,0.13,0.174,555203.98,876061.51,0.0,530455600.52599996,517194212.997,0,336176236.1704,407823763.84999996,11060563.0,0.0,20358142.0,0.8138446338207531,0.8138446325489593,31418705.0,0.09345903017390729,0.22345903017390728,0.03837859752977037
14,0.044,0.14,0.184,564261.0,890352.66,0.0,534987556.286,521612866.25699997,0,339048364.3204,404951635.7,11240993.0,0.0,20690244.0,0.8076230097371816,0.807623010957628,31931237.0,0.09417900323455047,0.2341790032345505,0.038674252806245014
15,0.044,0.15,0.194,569325.03,898343.24,0.0,537392278.036,523957471.29700005,0,340572356.64040005,403427643.37999994,11341877.0,0.0,20875931.0,0.8040372717698806,0.8040372730729497,32217808.0,0.09459901067078617,0.24459901067078615,0.03884672678270512
16,0.044,0.16,0.20400000000000001,576886.37,910274.35,0.0,540766929.186,527247755.53699994,0,342711041.53040004,401288958.49,11492511.0,0.0,21153189.0,0.7984815455712001,0.7984815461528607,32645700.0,0.09525721685014393,0.2552572168501439,0.03911701670041334
17,0.044,0.17,0.21400000000000002,581459.01,917489.56,0.0,542731013.4260001,529162737.997,0,343955780.25039995,400044219.77,11583606.0,0.0,21320858.0,0.7950795297686376,0.7950795304780727,32904464.0,0.09566480893574615,0.2656648089357462,0.03928439221744796
18,0.044,0.18,0.22399999999999998,586944.01,926144.4,0.0,544965465.396,531341328.67700005,0,345371862.7704,398628137.25,11692876.0,0.0,21521981.0,0.7908922913634773,0.7908922887639719,33214857.0,0.09617128834285185,0.2761712883428519,0.03949237587809536
19,0.044,0.19,0.23399999999999999,591952.81,934047.83,0.0,546917612.3859999,533244673.38699996,0,346609036.27040005,397390963.75,11792659.0,0.0,21705643.0,0.7870092897751336,0.7870092880823011,33498302.0,0.09664578385044462,0.2866457838504446,0.039687226208178376
20,0.044,0.2,0.244,596354.41,940993.15,0.0,548563532.4560001,534849443.79700005,0,347652138.9404,396347861.08,11880346.0,0.0,21867040.0,0.7835514795576619,0.783551480562553,33747386.0,0.0970722806505888,0.2970722806505888,0.03986236544397698
