,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.044,0.0,0.044,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
1,0.044,0.01,0.054,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
2,0.044,0.02,0.064,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
3,0.044,0.03,0.074,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
4,0.044,0.04,0.08399999999999999,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
5,0.044,0.05,0.094,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
6,0.044,0.06,0.104,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
7,0.044,0.07,0.114,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
8,0.044,0.08,0.124,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
9,0.044,0.09,0.134,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
10,0.044,0.1,0.14400000000000002,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
11,0.044,0.11,0.154,0.0,2101.0,0.0,18251.0,-0.0,17794.725000000002,0.0,24000000.0,0.0,0.0,0.0,,0.361950658416627,0.0,,,0.0
12,0.044,0.12,0.16399999999999998,796.4775,2101.0,0.0,18251.0,15543.45,2251.2749999999996,10880.415,23989119.57,1012.9762,0.0,0.0,0.5691945158526136,0.361950658416627,1012.9762,0.09310087896463506,0.21310087896463506,0.0
13,0.044,0.13,0.174,825.1425,2101.0,0.0,18251.0,15841.800000000003,1952.9250000000002,11089.26,23988910.77,1034.5529,0.0,0.0,0.5599669148056244,0.361950658416627,1034.5529,0.09329323146900693,0.22329323146900693,0.0
