,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.065,0.058,0.0,0.058,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,8760000000.0,0.0,0.0,0.0,,,0.0,,,,
1,0.065,0.058,0.005,0.063,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,8760000000.0,0.0,0.0,0.0,,,0.0,,,,
2,0.065,0.058,0.01,0.068,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,8760000000.0,0.0,0.0,0.0,,,0.0,,,,
3,0.065,0.058,0.015,0.07300000000000001,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,8760000000.0,0.0,0.0,0.0,,,0.0,,,,
4,0.065,0.058,0.02,0.078,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,8760000000.0,0.0,0.0,0.0,,,0.0,,,,
5,0.065,0.058,0.025,0.083,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,8760000000.0,0.0,0.0,0.0,,,0.0,,,,
6,0.065,0.058,0.03,0.088,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,8760000000.0,0.0,0.0,0.0,,,0.0,,,,
7,0.065,0.058,0.035,0.093,1102.5,1575.0,1575.0,0.0,681271.7,681271.7,0,476890.19,8759523109.81,45716.401,0.0,0.0,0.049378248894687254,0.04937824889468725,45716.401,0.09586358025104269,0.0,0.09586358025104269,0.1308635802510427
8,0.065,0.058,0.04,0.098,5005.0,7150.0,7150.0,0.0,3023342.0,3023342.0,0,2116339.4000000004,8757883660.6,207537.95,0.0,0.0,0.04826998116039213,0.04826998116039212,207537.95,0.09806458737194987,0.0,0.09806458737194987,0.13806458737194988
9,0.065,0.058,0.045,0.10300000000000001,8458.31,12083.3,12083.3,0.0,5000498.6,5000498.6,0,3500349.0199999996,8756499650.98,350733.32,0.0,0.0,0.04724149640545064,0.04724149640545064,350733.32,0.10019952810305757,0.0,0.10019952810305757,0.14519952810305758
10,0.065,0.058,0.05,0.10800000000000001,11994.5,17135.0,17135.0,0.0,6921089.799999999,6921089.799999999,0,4844762.86,8755155237.140001,497365.41,0.0,0.0,0.04610906006957908,0.046109060069579065,497365.41,0.1026604241265175,0.0,0.1026604241265175,0.1526604241265175
11,0.065,0.058,0.055,0.113,14000.0,20000.0,20000.0,0.0,7964946.099999999,7964946.099999999,0,5575462.27,8754424537.730001,580525.72,0.0,0.0,0.045462021118721455,0.045462021118721455,580525.72,0.10412154040098993,0.0,0.10412154040098993,0.15912154040098994
12,0.065,0.058,0.06,0.118,15860.04,22657.200000000004,22657.2,0.0,8894031.3,8894031.3,0,6225821.91,8753774178.09,657654.37,0.0,0.0,0.04481137901913426,0.04481137901913426,657654.37,0.10563334118884232,0.0,0.10563334118884232,0.16563334118884232
13,0.065,0.058,0.065,0.123,17500.0,25000.0,25000.0,0.0,9677105.299999999,9677105.299999999,0,6773973.709999999,8753226026.29,725657.15,0.0,0.0,0.04418769543378995,0.04418769543378995,725657.15,0.10712429381424336,0.0,0.10712429381424336,0.17212429381424338
14,0.065,0.058,0.07,0.128,19285.0,27550.0,27550.0,0.0,10501550.6,10501550.6,0,7351085.42,8752648914.58,799674.18,0.0,0.0,0.043513871002494424,0.043513871002494424,799674.18,0.10878314348304771,0.0,0.10878314348304771,0.17878314348304772
15,0.065,0.058,0.075,0.133,20300.0,29000.000000000004,29000.0,0.0,10951450.6,10951450.6,0,7666015.42,8752333984.58,841762.3,0.0,0.0,0.04310915840025193,0.04310915840025193,841762.3,0.10980440996817092,0.0,0.10980440996817092,0.18480440996817094
16,0.065,0.058,0.08,0.138,21276.15,30394.500000000004,30394.5,0.0,11366986.1,11366986.1,0,7956890.2700000005,8752043109.73,882239.45,0.0,0.0,0.042691972329468704,0.042691972329468704,882239.45,0.11087741819518643,0.0,0.11087741819518643,0.19087741819518644
17,0.065,0.058,0.085,0.14300000000000002,23614.29,33734.700000000004,33734.7,0.0,12329179.399999999,12329179.399999999,0,8630425.58,8751369574.42,979193.05,0.0,0.0,0.04172085629266766,0.041720856292667655,979193.05,0.11345825775604453,0.0,0.11345825775604453,0.19845825775604453
18,0.065,0.058,0.09,0.148,24622.5,35175.0,35175.0,0.0,12728288.399999999,12728288.399999999,0,8909801.879999999,8751090198.12,1020999.6,0.0,0.0,0.041307774240344264,0.041307774240344264,1020999.6,0.11459285108144292,0.0,0.11459285108144292,0.20459285108144293
19,0.065,0.058,0.095,0.153,25404.19,36291.7,36291.7,0.0,13030017.2,13030017.2,0,9121012.04,8750878987.960001,1053413.3,0.0,0.0,0.04098581454836089,0.04098581454836089,1053413.3,0.11549302811796312,0.0,0.11549302811796312,0.2104930281179631
20,0.065,0.058,0.1,0.158,26285.0,37550.0,37550.0,0.0,13359316.7,13359316.7,0,9351521.69,8750648478.31,1089937.0,0.0,0.0,0.04061347943989445,0.04061347943989445,1089937.0,0.11655183360858996,0.0,0.11655183360858996,0.21655183360858998
21,0.065,0.058,0.105,0.163,26924.31,38463.3,38463.3,0.0,13590628.4,13590628.4,0,9513439.88,8750486560.12,1116446.8,0.0,0.0,0.04033563418046595,0.04033563418046595,1116446.8,0.1173546912665201,0.0,0.1173546912665201,0.22235469126652008
22,0.065,0.058,0.11,0.168,27591.27,39416.100000000006,39416.1,0.0,13824176.2,13824176.2,0,9676923.34,8750323076.66,1144103.0,0.0,0.0,0.04003699772265833,0.04003699772265833,1144103.0,0.11823003653142508,0.0,0.11823003653142508,0.2282300365314251
23,0.065,0.058,0.115,0.17300000000000001,28000.0,40000.0,40000.0,0.0,13964812.799999999,13964812.799999999,0,9775368.959999999,8750224631.039999,1161051.4,0.0,0.0,0.039853917808219175,0.039853917808219175,1161051.4,0.11877315370406234,0.0,0.11877315370406234,0.23377315370406235
24,0.065,0.058,0.12,0.178,28350.0,40500.0,40500.0,0.0,14079812.799999999,14079812.799999999,0,9855868.959999999,8750144131.039999,1175564.6,0.0,0.0,0.039686038671852976,0.039686038671852976,1175564.6,0.11927559150502344,0.0,0.11927559150502344,0.23927559150502342
25,0.065,0.058,0.125,0.183,29050.0,41500.0,41500.0,0.0,14305149.5,14305149.5,0,10013604.65,8749986395.35,1204590.9,0.0,0.0,0.039349588766023,0.03934958876602299,1204590.9,0.12029543227473034,0.0,0.12029543227473034,0.24529543227473033
26,0.065,0.058,0.13,0.188,29400.0,42000.0,42000.0,0.0,14415774.5,14415774.5,0,10091042.15,8749908957.85,1219104.0,0.0,0.0,0.03918181805827354,0.03918181805827354,1219104.0,0.12081051509630251,0.0,0.12081051509630251,0.25081051509630253
27,0.065,0.058,0.135,0.193,29925.0,42750.0,42750.0,0.0,14576274.5,14576274.5,0,10203392.15,8749796607.85,1240873.7,0.0,0.0,0.038923000614168604,0.038923000614168604,1240873.7,0.12161383996203654,0.0,0.12161383996203654,0.25661383996203657
28,0.065,0.058,0.14,0.198,30450.0,43500.0,43500.0,0.0,14732274.4,14732274.4,0,10312592.08,8749687407.92,1262643.4,0.0,0.0,0.0386612984831785,0.0386612984831785,1262643.4,0.12243705464203719,0.0,0.12243705464203719,0.2624370546420372
29,0.065,0.058,0.145,0.20299999999999999,30800.0,44000.0,44000.0,0.0,14834774.4,14834774.4,0,10384342.08,8749615657.92,1277156.6,0.0,0.0,0.038487895392278954,0.038487895392278954,1277156.6,0.1229886872139713,0.0,0.1229886872139713,0.2679886872139713
