,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.048,0.048,0.0,0.058,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.03707979356796762
1,0.048,0.048,0.005,0.063,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.042079793567967615
2,0.048,0.048,0.01,0.068,0.0,0.0,1000000.0,0.0,5369980543.002,-0.0,5369980543.042,0.0,8760000000.0,0.0,0.0,199117770.0,,0.6130114775310502,199117770.0,,0.03707979356824382,0.03707979356796762,0.04707979356796762
3,0.048,0.048,0.015,0.07300000000000001,260866.31,372666.15714285715,1000000.0,0.0,5369980543.002,2813133533.1020007,2556847031.292,1969193460.4380002,6790806539.439999,10817115.0,0.0,199117770.0,0.8617202199187882,0.6130114775310502,209934885.0,0.00549317028383488,0.03707979356824382,0.04638378410082586,0.06138378410082586
4,0.048,0.048,0.02,0.078,542427.56,774896.5142857144,1000000.0,0.0,5369980543.002,4909275309.471999,460705218.306,3436492727.368001,5323507272.38,22492368.0,0.0,199117770.0,0.7232185811849473,0.6130114775310502,221610138.0,0.006545152218967981,0.03707979356824382,0.05686396767349051,0.0768639676734905
5,0.048,0.048,0.025,0.083,599963.33,857090.4714285714,1000000.0,0.0,5369980543.002,5164486345.942,205494191.611,3615140444.6580005,5144859555.120001,24878153.0,0.0,199117770.0,0.6878541483058939,0.6130114775310502,223995923.0,0.0068816560188586316,0.03707979356824382,0.05862793601712746,0.08362793601712745
6,0.048,0.048,0.03,0.088,632295.6,903279.4285714286,1000000.0,0.0,5369980543.002,5267349753.382,102630785.79,3687144838.988,5072855160.86,26218847.0,0.0,199117770.0,0.6656806485605061,0.6130114775310502,225336617.0,0.007110880680021296,0.03707979356824382,0.05945909185934983,0.08945909185934983
7,0.048,0.048,0.035,0.093,649262.79,927518.2714285715,1000000.0,0.0,5369980543.002,5309964493.271999,60016049.654,3716975146.948,5043024852.7300005,26922411.0,0.0,199117770.0,0.653529261066629,0.6130114775310502,226040181.0,0.007243096855814582,0.03707979356824382,0.05984662638434499,0.09484662638434499
8,0.048,0.048,0.04,0.098,659766.98,942524.2571428572,1000000.0,0.0,5369980543.002,5331688242.012,38292296.965,3732181776.038,5027818223.76,27357979.0,0.0,199117770.0,0.6457554877171079,0.6130114775310502,226475749.0,0.007330291138456448,0.03707979356824382,0.06006558979455414,0.10006558979455414
9,0.048,0.048,0.045,0.10300000000000001,665755.85,951079.7857142858,1000000.0,0.0,5369980543.002,5342175055.362,27805488.729,3739522535.318,5020477464.549999,27606314.0,0.0,199117770.0,0.6412052318709951,0.6130114775310502,226724084.0,0.007382309837491707,0.03707979356824382,0.0601816678964007,0.1051816678964007
10,0.048,0.048,0.05,0.10800000000000001,670542.98,957918.5428571429,1000000.0,0.0,5369980543.002,5349475138.812,20505404.184,3744632599.118,5015367400.67,27804818.0,0.0,199117770.0,0.637497502076839,0.6130114775310502,226922588.0,0.007425245939094016,0.03707979356824382,0.060269394588190514,0.11026939458819052
11,0.048,0.048,0.055,0.113,674234.79,963192.5571428572,1000000.0,0.0,5369980543.002,5354462086.002,15518457.926000003,3748123458.288,5011876541.5199995,27957903.0,0.0,199117770.0,0.6345978893945994,0.6130114775310502,227075673.0,0.007459173453365942,0.03707979356824382,0.060334027002341556,0.11533402700234155
12,0.048,0.048,0.06,0.118,676893.92,966991.3142857144,1000000.0,0.0,5369980543.002,5357689265.692,12291281.379,3750382482.678,5009617517.150001,28068167.0,0.0,199117770.0,0.6324858911230673,0.6130114775310502,227185937.0,0.0074840811916222555,0.03707979356824382,0.060378855900343316,0.1203788559003433
13,0.048,0.048,0.065,0.123,679266.11,970380.1571428572,1000000.0,0.0,5369980543.002,5360300204.192,9680342.537999999,3752210141.388,5007789858.34,28166532.0,0.0,199117770.0,0.6305842212944017,0.6130114775310502,227284302.0,0.0075066509973188145,0.03707979356824382,0.06041757541086114,0.12541757541086113
14,0.048,0.048,0.07,0.128,681162.12,973088.7428571429,1000000.0,0.0,5369980543.002,5362202313.351999,7778227.699,3753541620.588,5006458379.21,28245152.0,0.0,199117770.0,0.6290521357360465,0.6130114775310502,227362922.0,0.007524933743927779,0.03707979356824382,0.06044764369176071,0.1304476436917607
15,0.048,0.048,0.075,0.133,682631.72,975188.1714285715,1000000.0,0.0,5369980543.002,5363563586.462,6416959.101000001,3754494511.0380006,5005505488.72,28306091.0,0.0,199117770.0,0.6278572343768662,0.6130114775310502,227423861.0,0.00753925486288013,0.03707979356824382,0.06047041064532013,0.13547041064532012
16,0.048,0.048,0.08,0.138,683739.48,976770.6857142857,1000000.0,0.0,5369980543.002,5364516386.931999,5464157.881999999,3755161468.998,5004838530.84,28352025.0,0.0,199117770.0,0.6269513654097434,0.6130114775310502,227469795.0,0.007550148038658174,0.03707979356824382,0.06048722142776018,0.14048722142776018
