,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.048,0.0,0.058,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
1,0.048,0.001,0.059000000000000004,0.0,0.0,123502.71,0.0,510179831.71000004,-0.0,510179832.1,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
2,0.048,0.002,0.060000000000000005,0.0,0.0,123502.71,0.0,510179831.16,-0.0,510179830.91999996,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
3,0.048,0.003,0.061000000000000006,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
4,0.048,0.004,0.062,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
5,0.048,0.005,0.063,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
6,0.048,0.006,0.064,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
7,0.048,0.007,0.065,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
8,0.048,0.008,0.066,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
9,0.048,0.009000000000000001,0.067,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
10,0.048,0.01,0.068,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
11,0.048,0.011,0.069,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
12,0.048,0.012,0.07,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
13,0.048,0.013000000000000001,0.07100000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
14,0.048,0.014,0.07200000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
15,0.048,0.015,0.07300000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
16,0.048,0.016,0.07400000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
17,0.048,0.017,0.07500000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
18,0.048,0.018000000000000002,0.07600000000000001,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
19,0.048,0.019,0.077,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
20,0.048,0.02,0.078,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
21,0.048,0.021,0.079,0.0,0.0,123502.71,0.0,510179831.33000004,-0.0,510179833.26000005,0.0,365000000.0,0.0,0.0,0.0,,0.4836576665746571,0.0,,0.0,,
