,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh)
0,0.057,0.0,0.058,0.0,1000000.0,0.0,455063091.9100001,-0.0,443686514.31409997,0.0,744000000.0,0.0,0.0,23582647.0,,0.6116439407392474,23582647.0,,,0.05182280747273622,0.05315159744365159
1,0.057,0.01,0.068,0.0,1000000.0,0.0,455063091.9100001,-0.0,443686514.31409997,0.0,744000000.0,0.0,0.0,23582647.0,,0.6116439407392474,23582647.0,,,0.05182280747273622,0.05315159744365159
2,0.057,0.02,0.078,0.0,1000000.0,0.0,455063091.9100001,-0.0,443686514.31409997,0.0,744000000.0,0.0,0.0,23582647.0,,0.6116439407392474,23582647.0,,,0.05182280747273622,0.05315159744365159
3,0.057,0.03,0.088,211156.02,1000000.0,0.0,455063091.9100001,197320134.49410003,246366379.12539998,138124096.8392,605875903.1600001,1043743.8,0.0,23582647.0,0.8792108687908763,0.6116439407392474,24626390.8,0.007556565609367176,0.037556565609367175,0.05182280747273622,0.06404941692825533
4,0.057,0.04,0.098,579222.85,1000000.0,0.0,455063091.9100001,418389502.3741,25297011.1814,292872652.4792,451127347.52000004,2863097.5,0.0,23582647.0,0.6796106857291535,0.6116439407392474,26445744.5,0.009775912758543883,0.049775912758543886,0.05182280747273622,0.08311837211548356
5,0.057,0.05,0.10800000000000001,639771.12,1000000.0,0.0,455063091.9100001,437367775.02409995,6318739.612500001,306157441.6592,437842558.34,3162387.5,0.0,23582647.0,0.6432018027227902,0.6116439407392474,26745034.5,0.01032928509874413,0.060329285098744134,0.05182280747273622,0.0855906341121886
6,0.057,0.06,0.118,657664.29,1000000.0,0.0,455063091.9100001,441321132.0441,2365382.0599849997,308924792.7892,435075207.21,3250833.4,0.0,23582647.0,0.6313578249541397,0.6116439407392474,26833480.4,0.010523057636938386,0.07052305763693839,0.05182280747273622,0.08620085877429437
7,0.057,0.07,0.128,664212.01,1000000.0,0.0,455063091.9100001,442380150.79410005,1306363.9685,309666105.56920004,434333894.42999995,3283198.8,0.0,23582647.0,0.6266340830385918,0.6116439407392474,26865845.8,0.010602383473532316,0.08060238347353232,0.05182280747273622,0.08639300398501347
8,0.057,0.08,0.138,668661.06,1000000.0,0.0,455063091.9100001,442964208.2341,722305.9690099999,310074945.5392,433925054.46000004,3305190.5,0.0,23582647.0,0.6232864822699254,0.6116439407392474,26887837.5,0.010659327841701271,0.09065932784170128,0.05182280747273622,0.08651246872203995
9,0.057,0.09,0.148,671226.94,1000000.0,0.0,455063091.9100001,443246251.51409996,440263.15508,310272375.9992,433727624.0,3317873.6,0.0,23582647.0,0.6212992038725158,0.6116439407392474,26900520.6,0.010693422478604912,0.10069342247860491,0.05182280747273622,0.08657684693232877
10,0.057,0.1,0.158,673633.26,1000000.0,0.0,455063091.9100001,443481006.0241,205508.1398,310436704.5992,433563295.4,3329768.0,0.0,23582647.0,0.6194077103823207,0.6116439407392474,26912415.0,0.010726077009157186,0.1107260770091572,0.05182280747273622,0.08663476467897707
11,0.057,0.11,0.168,675020.87,1000000.0,0.0,455063091.9100001,443600178.74410003,86335.383075,310520125.4692,433479874.53,3336627.0,0.0,23582647.0,0.6183005275662771,0.6116439407392474,26919274.0,0.010745284206485208,0.12074528420648521,0.05182280747273622,0.08666681924817674
12,0.057,0.12,0.178,675479.94,1000000.0,0.0,455063091.75,443634835.4941,51678.586315,310544384.9792,433455615.02,3338896.2,0.0,23582647.0,0.617928590014867,0.6116439405241936,26921543.2,0.010751751960427932,0.13075175196042793,0.05182280749095711,0.08667702639547895
13,0.057,0.13,0.188,675606.84,1000000.0,0.0,455063091.9100001,443643325.0741,43189.30851,310550327.5492,433449672.45,3339523.4,0.0,23582647.0,0.6178243462318939,0.6116439407392474,26922170.4,0.010753565859533427,0.14075356585953344,0.05182280747273622,0.08667975646231425
14,0.057,0.14,0.198,675819.49,1000000.0,0.0,455063091.9100001,443656215.0641,30299.41117,310559350.42920005,433440649.57,3340574.6,0.0,23582647.0,0.6176478896157278,0.6116439407392474,26923221.6,0.01075663828953548,0.1507566382895355,0.05182280747273622,0.08668422020449619
15,0.057,0.15,0.208,675931.35,1000000.0,0.0,455063091.9100001,443662559.41409993,23954.95341,310563791.7492,433436208.25,3341127.5,0.0,23582647.0,0.6175545064980437,0.6116439407392474,26923774.5,0.010758264771246008,0.160758264771246,0.05182280747273622,0.08668653153847601
16,0.057,0.16,0.218,675999.74,1000000.0,0.0,455063091.75,443666087.00409997,20427.367285,310566260.80920005,433433739.19,3341465.5,0.0,23582647.0,0.6174969385414835,0.6116439405241936,26924112.5,0.010759267575600775,0.17075926757560078,0.05182280749095711,0.08668791524220407
17,0.057,0.17,0.228,676126.7,1000000.0,0.0,455063091.9100001,443672299.2241,14214.999885000001,310570609.6292,433429390.37,3342093.1,0.0,23582647.0,0.6173896328794748,0.6116439407392474,26924740.1,0.010761137713546785,0.1807611377135468,0.05182280747273622,0.08669045608443617
18,0.057,0.18,0.238,676163.75,1000000.0,0.0,455063091.75,443674037.31409997,12477.101335,310571826.0392,433428173.96000004,3342276.2,0.0,23582647.0,0.6173582213667742,0.6116439405241936,26924923.2,0.010761685123292999,0.190761685123293,0.05182280749095711,0.0866911911765768
