,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.057,0.0,0.058,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0340984074114864
1,0.057,0.001,0.059000000000000004,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.613011477099315,178530090.0,,0.0340984074114864,0.0340984074114864,0.0350984074114864
2,0.057,0.002,0.060000000000000005,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0360984074114864
3,0.057,0.003,0.061000000000000006,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0370984074114864
4,0.057,0.004,0.062,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0380984074114864
5,0.057,0.005,0.063,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.039098407411486395
6,0.057,0.006,0.064,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.040098407411486396
7,0.057,0.007,0.065,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0410984074114864
8,0.057,0.008,0.066,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0420984074114864
9,0.057,0.009000000000000001,0.067,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0430984074114864
10,0.057,0.01,0.068,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0440984074114864
11,0.057,0.011,0.069,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.045098407411486394
12,0.057,0.012,0.07,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.046098407411486395
13,0.057,0.013000000000000001,0.07100000000000001,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.047098407411486395
14,0.057,0.014,0.07200000000000001,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.048098407411486396
15,0.057,0.015,0.07300000000000001,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0490984074114864
16,0.057,0.016,0.07400000000000001,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0500984074114864
17,0.057,0.017,0.07500000000000001,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0510984074114864
18,0.057,0.018000000000000002,0.07600000000000001,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0520984074114864
19,0.057,0.019,0.077,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0530984074114864
20,0.057,0.02,0.078,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0540984074114864
21,0.057,0.021,0.079,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0550984074114864
22,0.057,0.022,0.08,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.056098407411486396
23,0.057,0.023,0.081,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0570984074114864
24,0.057,0.024,0.082,0.0,0.0,1000000.0,0.0,5235731037.1,-0.0,5235731037.1,0.0,365000000.0,0.0,0.0,178530090.0,,0.6130114774760274,178530090.0,,0.0340984074114864,0.0340984074114864,0.0580984074114864
