,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.057,0.058,0.0,0.058,3336.1908,4765.986857142857,37108.475,0.0,230245862.32999998,6216932.3719999995,0,4351852.7814,360648147.18,194165.7,0.0,0.0,0.14890840391736013,0.054515589755261544,194165.7,0.04461678961886586,0.0,0.04461678961886586,0.04461678961886586
1,0.057,0.058,0.001,0.059000000000000004,3376.882,4824.117142857143,37108.475,0.0,229198298.52999997,6271342.4399999995,0,4389939.7883,360610060.17,196533.92,0.0,0.0,0.14840159621499371,0.054515589755261544,196533.92,0.04476916073514247,0.0,0.04476916073514247,0.04576916073514247
2,0.057,0.058,0.002,0.060000000000000005,3376.882,4824.117142857143,37108.475,0.0,229198298.53900003,6271342.449000001,0,4389939.7902999995,360610060.16999996,196533.92,0.0,0.0,0.14840159628260355,0.054515589755261544,196533.92,0.04476916071474622,0.0,0.04476916071474622,0.046769160714746225
3,0.057,0.058,0.003,0.061000000000000006,3880.3139,5543.305571428572,37108.475,0.0,216570150.41,6927242.582,0,4849069.6994,360150930.48,225833.57,0.0,0.0,0.14265515203239088,0.054515589755261544,225833.57,0.04657255597459107,0.0,0.04657255597459107,0.04957255597459107
4,0.057,0.058,0.004,0.062,4103.5711,5862.244428571429,37108.475,0.0,211117315.75,7210460.182,0,5047322.0264,359952677.83000004,238827.09,0.0,0.0,0.14040899974073354,0.054515589755261544,238827.09,0.04731758519682631,0.0,0.04731758519682631,0.051317585196826304
5,0.057,0.058,0.005,0.063,4103.5711,5862.244428571429,37108.475,0.0,211117315.75,7210460.182,0,5047322.0264,359952677.83000004,238827.09,0.0,0.0,0.14040899974073354,0.054515589755261544,238827.09,0.04731758519682631,0.0,0.04731758519682631,0.052317585196826305
6,0.057,0.058,0.006,0.064,4202.6359,6003.765571428572,37108.475,0.0,208763148.14,7332734.541999999,0,5132913.9704,359867086.03,244592.65,0.0,0.0,0.13942418456450043,0.054515589755261544,244592.65,0.04765181170198714,0.0,0.04765181170198714,0.053651811701987136
7,0.057,0.058,0.007,0.065,4202.6359,6003.765571428572,37108.475,0.0,208763148.14,7332734.541999999,0,5132913.9704,359867086.03,244592.65,0.0,0.0,0.13942418456450043,0.054515589755261544,244592.65,0.04765181170198714,0.0,0.04765181170198714,0.05465181170198714
8,0.057,0.058,0.008,0.066,4336.2438,6194.634000000001,37108.475,0.0,205676297.27999997,7493063.942,0,5245144.6204,359754855.38,252368.6,0.0,0.0,0.13808282675792471,0.054515589755261544,252368.6,0.0481147076514268,0.0,0.0481147076514268,0.0561147076514268
9,0.057,0.058,0.009000000000000001,0.067,4336.2438,6194.634000000001,37108.475,0.0,205676297.27999997,7493063.942,0,5245144.6204,359754855.38,252368.6,0.0,0.0,0.13808282675792471,0.054515589755261544,252368.6,0.0481147076514268,0.0,0.0481147076514268,0.0571147076514268
10,0.057,0.058,0.01,0.068,4511.9563,6445.651857142857,37108.475,0.0,201732662.31,7697894.562000001,0,5388526.020399999,359611473.98,262595.04,0.0,0.0,0.1363330006413299,0.054515589755261544,262595.04,0.04873225795066442,0.0,0.04873225795066442,0.058732257950664425
11,0.057,0.058,0.011,0.069,4511.9563,6445.651857142857,37108.475,0.0,201732662.31,7697894.562000001,0,5388526.020399999,359611473.98,262595.04,0.0,0.0,0.1363330006413299,0.054515589755261544,262595.04,0.04873225795066442,0.0,0.04873225795066442,0.05973225795066442
12,0.057,0.058,0.012,0.07,5012.4648,7160.664,37108.475,0.0,190829793.90999997,8264184.132000001,0,5784928.9504,359215071.04999995,291724.54,0.0,0.0,0.1317475620315478,0.054515589755261544,291724.54,0.05042837042619661,0.0,0.05042837042619661,0.06242837042619662
13,0.057,0.058,0.013000000000000001,0.07100000000000001,5012.4648,7160.664,37108.475,0.0,190829793.90999997,8264184.132000001,0,5784928.9504,359215071.04999995,291724.54,0.0,0.0,0.1317475620315478,0.054515589755261544,291724.54,0.05042837042619661,0.0,0.05042837042619661,0.06342837042619662
14,0.057,0.058,0.014,0.07200000000000001,5012.4648,7160.664,37108.475,0.0,190829793.90999997,8264184.131999996,0,5784928.950399996,359215071.04999995,291724.54,0.0,0.0,0.13174756203154772,0.054515589755261544,291724.54,0.05042837042619665,0.0,0.05042837042619665,0.06442837042619665
