,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.057,0.057,0.0,0.058,0.0,0.0,1000000.0,0.0,556669137.296,-0.0,556669137.296,0.0,744000000.0,0.0,0.0,16911372.0,,0.7482112059758065,16911372.0,,0.030379575347299424,0.030379575347299424,0.030379575347299424
1,0.057,0.057,0.005,0.063,0.0,0.0,1000000.0,0.0,556669137.296,-0.0,556669137.296,0.0,744000000.0,0.0,0.0,16911372.0,,0.7482112059758065,16911372.0,,0.030379575347299424,0.030379575347299424,0.03537957534729942
2,0.057,0.057,0.01,0.068,0.0,0.0,1000000.0,0.0,556669137.296,-0.0,556669137.296,0.0,744000000.0,0.0,0.0,16911372.0,,0.7482112059758065,16911372.0,,0.030379575347299424,0.030379575347299424,0.040379575347299426
3,0.057,0.057,0.015,0.07300000000000001,0.0,0.0,1000000.0,0.0,556669137.296,-0.0,556669137.296,0.0,744000000.0,0.0,0.0,16911372.0,,0.7482112059758065,16911372.0,,0.030379575347299424,0.030379575347299424,0.045379575347299424
4,0.057,0.057,0.02,0.078,0.0,0.0,1000000.0,0.0,556669137.296,-0.0,556669137.296,0.0,744000000.0,0.0,0.0,16911372.0,,0.7482112059758065,16911372.0,,0.030379575347299424,0.030379575347299424,0.05037957534729942
5,0.057,0.057,0.025,0.083,0.0,0.0,1000000.0,0.0,556669137.296,-0.0,556669137.296,0.0,744000000.0,0.0,0.0,16911372.0,,0.7482112059758065,16911372.0,,0.030379575347299424,0.030379575347299424,0.055379575347299426
6,0.057,0.057,0.03,0.088,582694.11,832420.1571428572,1000000.0,0.0,556669137.296,514676151.01600003,41992984.893,360273304.9395,383726695.06,2052120.7,0.0,16911372.0,0.8310334784244272,0.7482112059758065,18963492.7,0.005696010977956329,0.030379575347299424,0.04714164020031662,0.07714164020031662
7,0.057,0.057,0.035,0.093,647947.15,925638.7857142858,1000000.0,0.0,556669137.296,544837546.0259999,11831592.609000001,381386281.46950006,362613718.54,2281927.5,0.0,16911372.0,0.7911385515270342,0.7482112059758065,19193299.5,0.005983244838297857,0.030379575347299424,0.04881085211342235,0.08381085211342235
8,0.057,0.057,0.04,0.098,673626.39,962323.4142857144,1000000.0,0.0,556669137.296,552996281.3759999,3672855.79,387097396.2295,356902603.77,2372364.2,0.0,16911372.0,0.7723750241334798,0.7482112059758065,19283736.2,0.006128597668462453,0.030379575347299424,0.0493480148510325,0.0893480148510325
9,0.057,0.057,0.045,0.10300000000000001,681557.91,973654.1571428572,1000000.0,0.0,556669137.296,554861142.176,1807994.715,388402800.2895,355597199.71,2400297.2,0.0,16911372.0,0.7659609945436057,0.7482112059758065,19311669.2,0.0061799173389350285,0.030379575347299424,0.04949035097754611,0.0944903509775461
10,0.057,0.057,0.05,0.10800000000000001,686485.09,980692.9857142858,1000000.0,0.0,556669137.296,555815689.776,853447.298,389070982.51949996,354929017.47999996,2417649.7,0.0,16911372.0,0.7617716343669205,0.7482112059758065,19329021.7,0.006213903911168265,0.030379575347299424,0.04957119949895611,0.09957119949895611
11,0.057,0.057,0.055,0.113,689025.37,984321.9571428573,1000000.0,0.0,556669137.296,556225670.9860001,443465.9,389357970.2795,354642029.71999997,2426596.0,0.0,16911372.0,0.7595229842035885,0.7482112059758065,19337968.0,0.006232300826558326,0.030379575347299424,0.04960979156345397,0.10460979156345397
12,0.057,0.057,0.06,0.118,689736.81,985338.3000000002,1000000.0,0.0,556669137.296,556323963.046,345174.525,389426773.56949997,354573226.43999994,2429101.5,0.0,16911372.0,0.758873638706776,0.7482112059758065,19340473.5,0.006237633529237775,0.030379575347299424,0.04961997289581988,0.10961997289581987
13,0.057,0.057,0.065,0.123,690534.77,986478.2428571429,1000000.0,0.0,556669137.296,556423461.926,245675.055,389496423.5795,354503576.43,2431911.8,0.0,16911372.0,0.7581322782045328,0.7482112059758065,19343283.8,0.006243733325329553,0.030379575347299424,0.04963098384231805,0.11463098384231805
14,0.057,0.057,0.07,0.128,690883.08,986975.8285714285,1000000.0,0.0,556669137.296,556461039.076,208098.00400000002,389522727.34950006,354477272.65000004,2433138.4,0.0,16911372.0,0.7578012373513519,0.7482112059758065,19344510.4,0.006246460679088595,0.030379575347299424,0.04963556675932375,0.11963556675932376
15,0.057,0.057,0.075,0.133,691585.99,987979.9857142858,1000000.0,0.0,556669137.296,556530099.946,139037.214,389571070.3095,354428929.68000007,2435613.9,0.0,16911372.0,0.7571249816467321,0.7482112059758065,19346985.9,0.006252039962990562,0.030379575347299424,0.04964455765067205,0.12464455765067205
16,0.057,0.057,0.08,0.138,692037.62,988625.1714285715,1000000.0,0.0,556669137.296,556569989.586,99147.53,389598992.8695,354401007.13,2437204.5,0.0,16911372.0,0.7566851066687209,0.7482112059758065,19348576.5,0.0062556745387079725,0.030379575347299424,0.049650163791299495,0.1296501637912995
17,0.057,0.057,0.085,0.14300000000000002,692235.94,988908.4857142858,1000000.0,0.0,556669137.296,556585998.756,83138.416,389610199.4595,354389800.54,2437902.9,0.0,16911372.0,0.7564900818779151,0.7482112059758065,19349274.9,0.006257287163893717,0.030379575347299424,0.04965256785113874,0.13465256785113874
18,0.057,0.057,0.09,0.148,692424.16,989177.3714285715,1000000.0,0.0,556669137.296,556600670.4660001,68466.978,389620469.47950006,354379530.52,2438565.8,0.0,16911372.0,0.7563043824463868,0.7482112059758065,19349937.8,0.006258823627151102,0.030379575347299424,0.0496548297621745,0.1396548297621745
19,0.057,0.057,0.095,0.153,692612.52,989446.4571428573,1000000.0,0.0,556669137.296,556614070.6359999,55066.703,389629849.44949996,354370150.54999995,2439229.1,0.0,16911372.0,0.7561169038733477,0.7482112059758065,19350601.1,0.006260375336864814,0.030379575347299424,0.04965704418599386,0.14465704418599384
20,0.057,0.057,0.1,0.158,692742.05,989631.5000000001,1000000.0,0.0,556669137.296,556622520.8859999,46616.269,389635764.7195,354364235.28,2439685.3,0.0,16911372.0,0.7559870009883731,0.7482112059758065,19351057.3,0.006261451131818807,0.030379575347299424,0.049658537937775214,0.14965853793777523
21,0.057,0.057,0.105,0.163,692874.48,989820.6857142857,1000000.0,0.0,556669137.296,556630686.086,38451.292,389641480.2295,354358519.77,2440151.7,0.0,16911372.0,0.7558535955533163,0.7482112059758065,19351523.7,0.00626255628266976,0.030379575347299424,0.04966004696326608,0.15466004696326607
22,0.057,0.057,0.11,0.168,692978.71,989969.5857142857,1000000.0,0.0,556669137.296,556636642.976,32494.36,389645650.33949995,354354349.66999996,2440518.8,0.0,16911372.0,0.7557479968781343,0.7482112059758065,19351890.8,0.006263431396895012,0.030379575347299424,0.049661216732909665,0.15966121673290967
23,0.057,0.057,0.115,0.17300000000000001,693028.59,990040.8428571429,1000000.0,0.0,556669137.296,556639421.7459999,29715.362999999998,389647595.3995,354352404.58000004,2440694.5,0.0,16911372.0,0.7556973750385256,0.7482112059758065,19352066.5,0.00626385105109552,0.030379575347299424,0.04966177389731236,0.16466177389731237
24,0.057,0.057,0.12,0.178,693085.36,990121.9428571429,1000000.0,0.0,556669137.296,556642343.056,26794.133,389649640.30950004,354350359.69,2440894.4,0.0,16911372.0,0.7556394421959755,0.7482112059758065,19352266.4,0.006264331202926786,0.030379575347299424,0.049662398568409157,0.16966239856840915
25,0.057,0.057,0.125,0.183,693090.37,990129.1000000001,1000000.0,0.0,556669137.296,556642591.396,26545.997,389649813.8395,354350186.15999997,2440912.0,0.0,16911372.0,0.7556343165810313,0.7482112059758065,19352284.0,0.006264373581878399,0.030379575347299424,0.04966245324227472,0.17466245324227472
26,0.057,0.057,0.13,0.188,693228.21,990326.0142857142,1000000.0,0.0,556669137.296,556649089.426,20047.835,389654362.5595,354345637.44,2441397.5,0.0,16911372.0,0.755492887305916,0.7482112059758065,19352769.5,0.006265546429310669,0.030379575347299424,0.04966394760283996,0.17966394760283996
27,0.057,0.057,0.135,0.193,693255.37,990364.8142857143,1000000.0,0.0,556669137.296,556650313.126,18824.261,389655219.1495,354344780.85,2441493.1,0.0,16911372.0,0.7554649497564758,0.7482112059758065,19352865.1,0.0062657780006874905,0.030379575347299424,0.04966423970819332,0.18466423970819335
28,0.057,0.057,0.14,0.198,693306.86,990438.3714285715,1000000.0,0.0,556669137.296,556652519.6259999,16617.581000000002,389656763.84950006,354343236.15,2441674.5,0.0,16911372.0,0.7554118380930697,0.7482112059758065,19353046.5,0.006266218699447664,0.030379575347299424,0.049664789596237026,0.18966478959623703
29,0.057,0.057,0.145,0.20299999999999999,693326.5,990466.4285714286,1000000.0,0.0,556669137.296,556653333.3659999,15803.869999999999,389657333.4095,354342666.59,2441743.6,0.0,16911372.0,0.7553915435408409,0.7482112059758065,19353115.6,0.0062663868754496525,0.030379575347299424,0.04966499804198367,0.19466499804198367
