,hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(hydrogen)+subsidy_(£/kWh),LCOE(osw_elec)_(£/kWh)
0,0.057,0.0,0.057,0.0,1000000.0,0.0,1156419.959,-0.0,1127509.4545999998,0.0,24000000.0,0.0,0.0,760730.54,,0.04818416495833334,760730.54,inf,inf,0.6578324198570842
1,0.057,0.01,0.067,0.0,1000000.0,0.0,1156419.959,-0.0,1127509.4545999998,0.0,24000000.0,0.0,0.0,760730.54,,0.04818416495833334,760730.54,inf,inf,0.6578324198570842
2,0.057,0.02,0.077,0.0,1000000.0,0.0,1156419.959,-0.0,1127509.4545999998,0.0,24000000.0,0.0,0.0,760730.54,,0.04818416495833334,760730.54,inf,inf,0.6578324198570842
3,0.057,0.03,0.087,3560.5561,1000000.0,0.0,1156419.959,113105.11080000001,1014404.3386299999,79173.5779,23920826.339999996,567.73621,0.0,760730.54,0.9265123161987722,0.04818416495833334,761298.27621,9.61555984209222,9.645559842092219,0.6578324198570842
4,0.057,0.04,0.097,31006.649,1000000.0,0.0,1156419.959,555196.3726,572313.0825,388637.46650000004,23611362.509999998,4944.0584,0.0,760730.54,0.5222501719174276,0.04818416495833334,765674.5984,1.9701512705286224,2.010151270528622,0.6578324198570842
5,0.057,0.05,0.10700000000000001,62948.455,1000000.0,0.0,1156419.959,847789.2146000001,279720.242,593452.4515,23406547.57,10037.229,0.0,760730.54,0.39281640000801715,0.04818416495833334,770767.7690000001,1.2987860561563458,1.3487860561563458,0.6578324198570842
6,0.057,0.06,0.11699999999999999,82757.187,1000000.0,0.0,1156419.959,989280.1446,138229.3,692496.1115,23307503.869999997,13195.762,0.0,760730.54,0.34865859621150885,0.04818416495833334,773926.302,1.117589383027171,1.177589383027171,0.6578324198570842
7,0.057,0.07,0.127,91012.165,1000000.0,0.0,1156419.959,1036451.4646000001,91057.996,725516.0234999999,23274483.99,14512.031,0.0,760730.54,0.3321515789949618,0.04818416495833334,775242.571,1.068539557899923,1.1385395578999231,0.6578324198570842
8,0.057,0.08,0.137,99455.447,1000000.0,0.0,1156419.959,1072636.9545999998,54872.503,750845.8695,23249154.119999997,15858.326,0.0,760730.54,0.3145654210623577,0.04818416495833334,776588.866,1.034285327449617,1.1142853274496172,0.6578324198570842
9,0.057,0.09,0.147,99455.447,1000000.0,0.0,1156419.959,1072636.9545999998,54872.503,750845.8695,23249154.119999997,15858.326,0.0,760730.54,0.3145654210623577,0.04818416495833334,776588.866,1.034285327449617,1.1242853274496172,0.6578324198570842
