,elec_cost_(£/kWh),hydrogen_cost_(£/kWh),hydrogen_subsidy_(£/kWh),hydrogen_cost+subsidy_(£/kWh),electrolysis_capacity(hydrogen)_(kW),electrolysis_capacity(elec)_(kW),osw_capacity_(kW),battery_capactiy_(kW),osw_elec_produced_(kWh),osw_elec_consumed_by_electrolyser_(kWh),osw_elec_exported_to_grid_(kWh),green_hydrogen_prod_(kWh),alt_hydrogen_prod_(kWh),electrolysis_cost_(£),battery_cost_(£),osw_cost_(£),electrolysis_capfactor,osw_capfactor,total_system_cost_(£),LCOE(hydrogen)_(£/kWh),LCOE(osw_elec)_(£/kWh),LCOE(system)_(£/kWh),LCOE(system)+subsidy_(£/kWh)
0,0.057,0.058,0.0,0.058,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,744000000.0,0.0,0.0,0.0,,,0.0,,,,
1,0.057,0.058,0.005,0.063,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,744000000.0,0.0,0.0,0.0,,,0.0,,,,
2,0.057,0.058,0.01,0.068,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,744000000.0,0.0,0.0,0.0,,,0.0,,,,
3,0.057,0.058,0.015,0.07300000000000001,0.0,0.0,0.0,0.0,0.0,-0.0,0,0.0,744000000.0,0.0,0.0,0.0,,,0.0,,,,
4,0.057,0.058,0.02,0.078,630700.0,901000.0,1000000.0,0.0,340895000.0,340895000.0,0,238626500.0,505373500.0,4682790.2,0.0,14350280.0,0.5085374076593511,0.45819220430107527,19033070.2,0.019623931960616278,0.04209589463031139,0.07976092428963254,0.09976092428963254
5,0.057,0.058,0.025,0.083,634900.0,907000.0,1000000.0,0.0,341422000.0,341422000.0,0,238995400.0,505004600.0,4713974.1,0.0,14350280.0,0.5059542862562388,0.4589005376344086,19064254.1,0.01972412063161048,0.04203091774988138,0.07976828884572675,0.10476828884572675
6,0.057,0.058,0.03,0.088,639100.0,913000.0,1000000.0,0.0,341926000.0,341926000.0,0,239348200.0,504651800.0,4745158.1,0.0,14350280.0,0.5033712562861417,0.4595779569892473,19095438.1,0.01982533438730686,0.04196896404485181,0.07978099730852374,0.10978099730852374
7,0.057,0.058,0.035,0.093,641900.0,917000.0,1000000.0,1000.0,342318544.42,342306787.2,0,239614751.04000002,504385248.96,4765947.4,4291.3499,14350280.0,0.5017336616596898,0.46010557045698924,19120518.7499,0.019890041741229856,0.04192083728421458,0.07979691845727861,0.11479691845727862
8,0.057,0.058,0.04,0.098,644000.0,920000.0000000001,1000000.0,4000.0,342760177.69,342715299.2,0,239900709.44,504099290.56,4781539.4,17165.4,14350280.0,0.5006943945769051,0.46069916356182794,19148984.8,0.019931326635763368,0.041866823902100773,0.07982045924207334,0.11982045924207335
9,0.057,0.058,0.045,0.10300000000000001,645050.0,921500.0000000001,1000000.0,5500.0,342972494.33,342912053.6,0,240038437.51999998,503961562.48,4789335.3,23602.424,14350280.0,0.5001663568632255,0.4609845353897849,19163217.724,0.019952368251859465,0.04184090630367723,0.07983395460322192,0.12483395460322191
10,0.057,0.058,0.05,0.10800000000000001,646800.0,924000.0000000001,1000000.0,7000.0,343239810.96000004,343166419.20000005,0,240216493.44,503783506.56,4802328.7,30039.449,14350280.0,0.4991831029185868,0.4613438319354839,19182648.149,0.01999166931141429,0.041808320427237186,0.07985566633787926,0.12985566633787926
11,0.057,0.058,0.055,0.113,647683.1,925261.5714285715,1000000.0,9738.4306,343495000.0,343396363.15999997,0,240377454.24,503622545.76,4808885.4,41791.013,14350280.0,0.4988365083619324,0.46168682795698923,19200956.413000003,0.020005559236843676,0.041777260222128416,0.07987835828325728,0.13487835828325728
12,0.057,0.058,0.06,0.118,648200.0,926000.0000000001,1000000.0,11000.0,343617000.0,343507790.4,0,240455453.28,503544546.72,4812723.3,47204.849,14350280.0,0.49860045286699645,0.4618508064516129,19210208.149,0.02001503078574721,0.04176242735371067,0.0798909231916256,0.1398909231916256
13,0.057,0.058,0.065,0.123,650300.0,929000.0000000001,1000000.0,9000.0,343675000.0,343588369.6,0,240511858.72,503488141.28,4828315.3,38622.149,14350280.0,0.4971069157493894,0.4619287634408602,19217217.449,0.020075165215121663,0.041755379355495746,0.07990133023491525,0.14490133023491525
14,0.057,0.058,0.07,0.128,651700.0,931000.0000000001,1000000.0,9000.0,343787000.0,343703288.0,0,240592301.6,503407698.4,4838709.9,38622.149,14350280.0,0.496204924754282,0.46207930107526884,19227612.049000002,0.020111657221870145,0.041741776157911734,0.07991781915352857,0.1499178191535286
15,0.057,0.058,0.075,0.133,655200.0,936000.0000000001,1000000.0,9000.0,344062000.0,343984432.0,0,240789102.4,503210897.59999996,4864696.6,38622.149,14350280.0,0.49395797720797724,0.4624489247311828,19253598.748999998,0.020203142714983597,0.04170841301858386,0.07996042411012368,0.15496042411012367
16,0.057,0.058,0.08,0.138,655900.0,937000.0000000001,1000000.0,9000.0,344115000.0,344038507.2,0,240826955.04,503173044.96000004,4869893.9,38622.149,14350280.0,0.49350837608014597,0.4625201612903226,19258796.049000002,0.02022154828636661,0.04170198916060038,0.07996943716620603,0.15996943716620604
17,0.057,0.058,0.085,0.14300000000000002,656600.0,938000.0000000001,1000000.0,8000.0,344115000.0,344047416.0,0,240833191.2,503166808.8,4875091.2,34330.799,14350280.0,0.49299501341220164,0.4625201612903226,19259701.998999998,0.020242605164632308,0.04170198916060038,0.07997112816150732,0.16497112816150733
18,0.057,0.058,0.09,0.148,658000.0,940000.0000000001,1000000.0,8000.0,344212000.0,344146720.0,0,240902704.0,503097296.0,4885485.9,34330.799,14350280.0,0.49208808053077097,0.4626505376344086,19270096.699,0.020279913088895842,0.0416902374118276,0.07999120133994013,0.1699912013399401
19,0.057,0.058,0.095,0.153,661500.0,945000.0000000001,1000000.0,4000.0,344259000.0,344228740.8,0,240960118.56,503039881.44,4911472.5,17165.4,14350280.0,0.48960109916367983,0.46271370967741937,19278917.9,0.020382926972942306,0.04168454564731786,0.0800087500587757,0.1750087500587757
20,0.057,0.058,0.1,0.158,662200.0,946000.0000000001,1000000.0,5000.0,344350000.0,344313904.0,0,241019732.8,502980267.2,4916669.8,21456.75,14350280.0,0.4892045511377845,0.46283602150537634,19288406.55,0.02039944921887325,0.04167352983882677,0.08002832932358142,0.18002832932358143
21,0.057,0.058,0.105,0.163,662200.0,946000.0000000001,1000000.0,5000.0,344350000.0,344313904.0,0,241019732.8,502980267.2,4916669.8,21456.75,14350280.0,0.4892045511377845,0.46283602150537634,19288406.55,0.02039944921887325,0.04167352983882677,0.08002832932358142,0.18502832932358143
22,0.057,0.058,0.11,0.168,662200.0,946000.0000000001,1000000.0,5000.0,344350000.0,344313904.0,0,241019732.8,502980267.2,4916669.8,21456.75,14350280.0,0.4892045511377845,0.46283602150537634,19288406.55,0.02039944921887325,0.04167352983882677,0.08002832932358142,0.19002832932358144
23,0.057,0.058,0.115,0.17300000000000001,663600.0,948000.0000000001,1000000.0,3000.0,344350000.0,344328803.20000005,0,241030162.24,502969837.76,4927064.5,12874.05,14350280.0,0.4881935982940883,0.46283602150537634,19290218.55,0.020441692667052987,0.04167352983882677,0.08003238420755086,0.19503238420755087
24,0.057,0.058,0.12,0.178,664300.0,949000.0000000001,1000000.0,2000.0,344350000.0,344336022.4,0,241035215.68,502964784.32,4932261.8,8582.6998,14350280.0,0.4876893934758716,0.46283602150537634,19291124.4998,0.02046282650477142,0.04167352983882677,0.08003446486181101,0.200034464861811
25,0.057,0.058,0.125,0.183,665000.0,950000.0000000001,1000000.0,2000.0,344389000.0,344376097.6,0,241063268.32,502936731.68,4937459.1,8582.6998,14350280.0,0.48723273571024334,0.4628884408602151,19296321.7998,0.020482005136700288,0.041668810560151454,0.08004671111562735,0.20504671111562733
26,0.057,0.058,0.13,0.188,665700.0,951000.0000000001,1000000.0,2000.0,344427000.0,344415172.8,0,241090620.95999998,502909379.03999996,4942656.4,8582.6998,14350280.0,0.48677562497879984,0.4629395161290323,19301519.099799998,0.020501238830107998,0.041664213316609904,0.0800591869685481,0.21005918696854808
27,0.057,0.058,0.135,0.193,665700.0,951000.0000000001,1000000.0,3000.0,344464000.0,344446489.6,0,241112542.72,502887457.28,4942656.4,12874.05,14350280.0,0.48681988625442374,0.46298924731182795,19305810.45,0.020499374873831536,0.041659738027776484,0.08006970617210701,0.21506970617210702
28,0.057,0.058,0.14,0.198,665700.0,951000.0000000001,1000000.0,4000.0,344500000.0,344476960.0,0,241133872.0,502866128.0,4942656.4,17165.4,14350280.0,0.4868629512793551,0.46303763440860213,19310101.8,0.020497561620044822,0.041655384615384615,0.08008042022399905,0.22008042022399907
29,0.057,0.058,0.145,0.20299999999999999,665700.0,951000.0000000001,1000000.0,4000.0,344500000.0,344476960.0,0,241133872.0,502866128.0,4942656.4,17165.4,14350280.0,0.4868629512793551,0.46303763440860213,19310101.8,0.020497561620044822,0.041655384615384615,0.08008042022399905,0.22508042022399904
