local_time,region1-1
01/01/2019 00:00,122664
01/01/2019 01:00,119769
01/01/2019 02:00,121410
01/01/2019 03:00,116750
01/01/2019 04:00,124004
01/01/2019 05:00,123977
01/01/2019 06:00,123991
01/01/2019 07:00,123990
01/01/2019 08:00,123879
01/01/2019 09:00,123248
01/01/2019 10:00,119411
01/01/2019 11:00,123962
01/01/2019 12:00,123177
01/01/2019 13:00,119656
01/01/2019 14:00,121825
01/01/2019 15:00,121923
01/01/2019 16:00,116494
01/01/2019 17:00,105829
01/01/2019 18:00,98861
01/01/2019 19:00,84984
01/01/2019 20:00,78928
01/01/2019 21:00,57796
01/01/2019 22:00,64740
01/01/2019 23:00,48684
02/01/2019 00:00,34406
02/01/2019 01:00,25281
02/01/2019 02:00,16548
02/01/2019 03:00,10544
02/01/2019 04:00,8354
02/01/2019 05:00,5630
02/01/2019 06:00,1684
02/01/2019 07:00,74
02/01/2019 08:00,1291
02/01/2019 09:00,400
02/01/2019 10:00,179
02/01/2019 11:00,1605
02/01/2019 12:00,1763
02/01/2019 13:00,1792
02/01/2019 14:00,8698
02/01/2019 15:00,3293
02/01/2019 16:00,7104
02/01/2019 17:00,10491
02/01/2019 18:00,10244
02/01/2019 19:00,11796
02/01/2019 20:00,7084
02/01/2019 21:00,2129
02/01/2019 22:00,1751
02/01/2019 23:00,3854
03/01/2019 00:00,7415
03/01/2019 01:00,8783
03/01/2019 02:00,5446
03/01/2019 03:00,5015
03/01/2019 04:00,6469
03/01/2019 05:00,12444
03/01/2019 06:00,12448
03/01/2019 07:00,5367
03/01/2019 08:00,5517
03/01/2019 09:00,4700
03/01/2019 10:00,8203
03/01/2019 11:00,11759
03/01/2019 12:00,5373
03/01/2019 13:00,8276
03/01/2019 14:00,11706
03/01/2019 15:00,24140
03/01/2019 16:00,24513
03/01/2019 17:00,31512
03/01/2019 18:00,38648
03/01/2019 19:00,44603
03/01/2019 20:00,36174
03/01/2019 21:00,27894
03/01/2019 22:00,13752
03/01/2019 23:00,19018
04/01/2019 00:00,28283
04/01/2019 01:00,31998
04/01/2019 02:00,36346
04/01/2019 03:00,30064
04/01/2019 04:00,53409
04/01/2019 05:00,69796
04/01/2019 06:00,81795
04/01/2019 07:00,89781
04/01/2019 08:00,73918
04/01/2019 09:00,57537
04/01/2019 10:00,55708
04/01/2019 11:00,60309
04/01/2019 12:00,72832
04/01/2019 13:00,50868
04/01/2019 14:00,28778
04/01/2019 15:00,22398
04/01/2019 16:00,19860
04/01/2019 17:00,18725
04/01/2019 18:00,14079
04/01/2019 19:00,23187
