time,region1-1
01/01/2019,23025709.72
02/01/2019,7859018.258
03/01/2019,4649172.177
04/01/2019,16887577.4
05/01/2019,11711548.85
06/01/2019,9230091.808
07/01/2019,14913525.47
08/01/2019,22955278.98
09/01/2019,11224490.08
10/01/2019,19942359.79
11/01/2019,19822547.79
12/01/2019,23088246.7
13/01/2019,22280803.04
14/01/2019,20141589.55
15/01/2019,18693883.64
16/01/2019,20810086.84
17/01/2019,18767579.73
18/01/2019,10369246.25
19/01/2019,8587023.556
20/01/2019,14554404.38
21/01/2019,19295315.8
22/01/2019,12414174.95
23/01/2019,5396872.965
24/01/2019,4183924.669
25/01/2019,21996570.5
26/01/2019,13248617.04
27/01/2019,22891161.23
28/01/2019,19369228.54
29/01/2019,8785236.763
30/01/2019,5896076.254
31/01/2019,2071728.941
01/02/2019,1228019.403
02/02/2019,14826467.56
03/02/2019,16171786.16
04/02/2019,18412218.78
05/02/2019,14991454.96
06/02/2019,18592869.29
07/02/2019,8092252.95
08/02/2019,21885005.86
09/02/2019,21110106.63
10/02/2019,19446192.37
11/02/2019,12418763.55
12/02/2019,21651084.75
13/02/2019,19724121.54
14/02/2019,19668240.75
15/02/2019,21412564.78
16/02/2019,17348541.55
17/02/2019,22455564.22
18/02/2019,23046178.07
19/02/2019,14242558.09
20/02/2019,20923129.18
21/02/2019,12892619.71
22/02/2019,21530464.54
23/02/2019,22100105.56
24/02/2019,12795633.01
25/02/2019,11379866.33
26/02/2019,8265867.217
27/02/2019,9501885.449
28/02/2019,2717616.398
01/03/2019,9903269.35
02/03/2019,17744324.3
03/03/2019,18971992.42
04/03/2019,18614786.81
05/03/2019,7006270.75
06/03/2019,14160109.56
07/03/2019,20413099.92
08/03/2019,18063743.47
09/03/2019,22771287.34
10/03/2019,12283671.78
11/03/2019,20385167.95
12/03/2019,22477463.03
13/03/2019,21958771.55
14/03/2019,21752395.36
15/03/2019,22714083.73
16/03/2019,14198984.99
17/03/2019,23568725.53
18/03/2019,10383091.16
19/03/2019,17135577.01
20/03/2019,18862212.14
21/03/2019,15258018.84
22/03/2019,23362337.96
23/03/2019,21791112.42
24/03/2019,23235949.04
25/03/2019,19815209.31
26/03/2019,19821775.77
27/03/2019,19506226.57
28/03/2019,19735431.87
29/03/2019,16449329.37
30/03/2019,16592680.55
31/03/2019,7732037.505
01/04/2019,22002054.37
02/04/2019,13339896.43
03/04/2019,16672758.03
04/04/2019,15302937.21
05/04/2019,6877761.216
06/04/2019,18190746.76
07/04/2019,18526362.96
08/04/2019,11197572.39
09/04/2019,3801335.611
10/04/2019,437975.589
11/04/2019,4546313.712
12/04/2019,18655671.7
13/04/2019,14684427.44
14/04/2019,18579036.5
15/04/2019,21988482.37
16/04/2019,22292909.28
17/04/2019,14300957.63
18/04/2019,16726725.49
19/04/2019,18929425.5
20/04/2019,9306623.969
21/04/2019,16903183.66
22/04/2019,20624100.5
23/04/2019,21572110.43
24/04/2019,21505267.18
25/04/2019,19588663.05
26/04/2019,20405393.36
27/04/2019,10157574.63
28/04/2019,2593353.865
29/04/2019,3657943.937
30/04/2019,4876263.001
01/05/2019,1641433.645
02/05/2019,18670441.14
03/05/2019,22827159.73
04/05/2019,22566058.37
05/05/2019,22269701.36
06/05/2019,14700868.19
07/05/2019,2890450.297
08/05/2019,10595626.59
09/05/2019,12671015.36
10/05/2019,3760359.639
11/05/2019,6180373.704
12/05/2019,5728006.37
13/05/2019,8772284.812
14/05/2019,1779960.688
15/05/2019,10898731.9
16/05/2019,13607996.36
17/05/2019,12841276.25
18/05/2019,10774156.68
19/05/2019,5199871.503
20/05/2019,3133260.711
21/05/2019,6072059.351
22/05/2019,18216911.26
23/05/2019,22362744.5
24/05/2019,17784566.99
25/05/2019,8473303.915
26/05/2019,9238091.305
27/05/2019,7338135.719
28/05/2019,13181343.95
29/05/2019,6828744.611
30/05/2019,4734987.72
31/05/2019,14473025.34
01/06/2019,12752398.82
02/06/2019,19942210.32
03/06/2019,22540975.18
04/06/2019,8489195.42
05/06/2019,7021430.98
06/06/2019,6027469.092
07/06/2019,10903457.21
08/06/2019,15446995.63
09/06/2019,7238308.226
10/06/2019,4916273.736
11/06/2019,16607926.69
12/06/2019,22379226.13
13/06/2019,15093423.38
14/06/2019,16577744.17
