time,region1-1
01/01/2019,23.354
02/01/2019,9.521
03/01/2019,3.639
04/01/2019,16.713
05/01/2019,11.353
06/01/2019,8.302
07/01/2019,14.933
08/01/2019,22.329
09/01/2019,12.631
10/01/2019,19.077
11/01/2019,19.979
12/01/2019,22.872
13/01/2019,22.38
14/01/2019,20.925
15/01/2019,19.403
16/01/2019,20.793
17/01/2019,19.675
18/01/2019,10.369
19/01/2019,10.82
20/01/2019,14.519
21/01/2019,18.92
22/01/2019,12.533
23/01/2019,3.798
24/01/2019,3.334
25/01/2019,21.693
26/01/2019,12.496
27/01/2019,22.858
28/01/2019,19.595
29/01/2019,8.59
30/01/2019,6.096
31/01/2019,1.35
01/02/2019,1.92
02/02/2019,12.406
03/02/2019,16.574
04/02/2019,21.092
05/02/2019,15.345
06/02/2019,19.335
07/02/2019,8.921
08/02/2019,21.998
09/02/2019,21.8
10/02/2019,19.412
11/02/2019,13.17
12/02/2019,21.526
13/02/2019,20.482
14/02/2019,20.531
15/02/2019,21.79
16/02/2019,20.215
17/02/2019,22.685
18/02/2019,23.283
19/02/2019,14.704
20/02/2019,21.626
21/02/2019,16.136
22/02/2019,21.864
23/02/2019,22.416
24/02/2019,11.397
25/02/2019,12.102
26/02/2019,8.6
27/02/2019,9.848
28/02/2019,2.723
01/03/2019,8.132
02/03/2019,19.781
03/03/2019,19.456
04/03/2019,17.967
05/03/2019,8.541
06/03/2019,10.999
07/03/2019,16.179
08/03/2019,19.423
09/03/2019,23.047
10/03/2019,12.547
11/03/2019,20.255
12/03/2019,22.884
13/03/2019,22.4
14/03/2019,21.661
15/03/2019,22.822
16/03/2019,15.713
17/03/2019,23.634
18/03/2019,10.958
19/03/2019,18.362
20/03/2019,18.121
21/03/2019,15.367
22/03/2019,23.278
23/03/2019,20.965
24/03/2019,23.157
25/03/2019,19.925
26/03/2019,18.773
27/03/2019,18.127
28/03/2019,19.591
29/03/2019,18.213
30/03/2019,16.354
31/03/2019,6.259
01/04/2019,21.694
02/04/2019,9.617
03/04/2019,14.415
04/04/2019,13.589
05/04/2019,7.263
06/04/2019,18.343
07/04/2019,17.928
08/04/2019,10.913
09/04/2019,3.821
10/04/2019,0.985
11/04/2019,8.197
12/04/2019,16.591
13/04/2019,11.56
14/04/2019,17.579
15/04/2019,21.512
16/04/2019,22.18
17/04/2019,13.601
18/04/2019,17.464
19/04/2019,18.193
20/04/2019,14.283
21/04/2019,20.061
22/04/2019,20.628
23/04/2019,22.023
24/04/2019,21.771
25/04/2019,19.644
26/04/2019,20.115
27/04/2019,10.809
28/04/2019,1.958
29/04/2019,1.002
30/04/2019,4.032
01/05/2019,1.595
02/05/2019,18.738
03/05/2019,22.844
04/05/2019,22.988
05/05/2019,22.212
06/05/2019,15.475
07/05/2019,2.852
08/05/2019,13.572
09/05/2019,15.718
10/05/2019,3.843
11/05/2019,5.368
12/05/2019,5.554
13/05/2019,8.69
14/05/2019,2.588
15/05/2019,9.248
16/05/2019,10.49
17/05/2019,15.234
18/05/2019,13.383
19/05/2019,4.219
20/05/2019,2.347
21/05/2019,6.244
22/05/2019,17.119
23/05/2019,21.656
