local_time,region1-1
01/01/2019 00:00,0.818
01/01/2019 01:00,0.887
01/01/2019 02:00,0.949
01/01/2019 03:00,0.977
01/01/2019 04:00,0.983
01/01/2019 05:00,0.982
01/01/2019 06:00,0.981
01/01/2019 07:00,0.982
01/01/2019 08:00,0.983
01/01/2019 09:00,0.983
01/01/2019 10:00,0.984
01/01/2019 11:00,0.985
01/01/2019 12:00,0.988
01/01/2019 13:00,0.99
01/01/2019 14:00,0.991
01/01/2019 15:00,0.99
01/01/2019 16:00,0.988
01/01/2019 17:00,0.984
01/01/2019 18:00,0.977
01/01/2019 19:00,0.967
01/01/2019 20:00,0.959
01/01/2019 21:00,0.949
01/01/2019 22:00,0.933
01/01/2019 23:00,0.91
02/01/2019 00:00,0.876
02/01/2019 01:00,0.835
02/01/2019 02:00,0.783
02/01/2019 03:00,0.718
02/01/2019 04:00,0.636
02/01/2019 05:00,0.543
02/01/2019 06:00,0.464
02/01/2019 07:00,0.414
02/01/2019 08:00,0.405
02/01/2019 09:00,0.414
02/01/2019 10:00,0.43
02/01/2019 11:00,0.451
02/01/2019 12:00,0.464
02/01/2019 13:00,0.448
02/01/2019 14:00,0.4
02/01/2019 15:00,0.325
02/01/2019 16:00,0.25
02/01/2019 17:00,0.202
02/01/2019 18:00,0.163
02/01/2019 19:00,0.154
02/01/2019 20:00,0.141
02/01/2019 21:00,0.117
02/01/2019 22:00,0.097
02/01/2019 23:00,0.076
03/01/2019 00:00,0.058
03/01/2019 01:00,0.057
03/01/2019 02:00,0.061
03/01/2019 03:00,0.068
03/01/2019 04:00,0.07
03/01/2019 05:00,0.07
03/01/2019 06:00,0.074
03/01/2019 07:00,0.084
03/01/2019 08:00,0.101
03/01/2019 09:00,0.134
03/01/2019 10:00,0.155
03/01/2019 11:00,0.149
03/01/2019 12:00,0.151
03/01/2019 13:00,0.179
03/01/2019 14:00,0.232
03/01/2019 15:00,0.308
03/01/2019 16:00,0.343
03/01/2019 17:00,0.3
03/01/2019 18:00,0.248
03/01/2019 19:00,0.257
03/01/2019 20:00,0.283
03/01/2019 21:00,0.302
03/01/2019 22:00,0.337
03/01/2019 23:00,0.385
04/01/2019 00:00,0.447
04/01/2019 01:00,0.51
04/01/2019 02:00,0.56
04/01/2019 03:00,0.586
04/01/2019 04:00,0.604
04/01/2019 05:00,0.63
04/01/2019 06:00,0.654
04/01/2019 07:00,0.664
04/01/2019 08:00,0.649
04/01/2019 09:00,0.668
04/01/2019 10:00,0.744
04/01/2019 11:00,0.808
04/01/2019 12:00,0.856
04/01/2019 13:00,0.877
04/01/2019 14:00,0.888
04/01/2019 15:00,0.899
04/01/2019 16:00,0.911
04/01/2019 17:00,0.908
