local_time,region2
01/01/2019,-132680600
02/01/2019,-168198600
03/01/2019,-179001000
04/01/2019,-179383900
05/01/2019,-164890500
06/01/2019,-157155600
07/01/2019,-163252200
08/01/2019,-165235500
09/01/2019,-178634700
10/01/2019,-183646100
11/01/2019,-175912400
12/01/2019,-146271900
13/01/2019,-137030900
14/01/2019,-169515800
15/01/2019,-166445600
16/01/2019,-168061400
17/01/2019,-174020100
18/01/2019,-182180900
19/01/2019,-168625600
20/01/2019,-164958700
21/01/2019,-181405300
22/01/2019,-183885600
23/01/2019,-187424400
24/01/2019,-189247200
25/01/2019,-170761500
26/01/2019,-148608100
27/01/2019,-143455300
28/01/2019,-174840000
29/01/2019,-186842800
30/01/2019,-187630200
31/01/2019,-192397900
01/02/2019,-186725500
02/02/2019,-165516300
03/02/2019,-161314100
04/02/2019,-174449900
05/02/2019,-181325500
06/02/2019,-173025600
07/02/2019,-168191900
08/02/2019,-160238500
09/02/2019,-142168500
10/02/2019,-151966800
11/02/2019,-172445500
12/02/2019,-170953800
13/02/2019,-163368100
14/02/2019,-162744100
15/02/2019,-157982600
16/02/2019,-143106700
17/02/2019,-131966000
18/02/2019,-156428000
19/02/2019,-160709400
20/02/2019,-155950400
21/02/2019,-154958500
22/02/2019,-152171200
23/02/2019,-136115900
24/02/2019,-137070500
25/02/2019,-154811300
26/02/2019,-154893100
27/02/2019,-154796200
28/02/2019,-164602700
01/03/2019,-162399000
02/03/2019,-133144200
03/03/2019,-133734300
04/03/2019,-151392200
05/03/2019,-158628700
06/03/2019,-158874400
07/03/2019,-154437800
08/03/2019,-158878500
09/03/2019,-132930700
10/03/2019,-136038300
11/03/2019,-150686100
12/03/2019,-158489400
13/03/2019,-151410700
14/03/2019,-148536100
15/03/2019,-145955800
16/03/2019,-139031200
17/03/2019,-130774500
18/03/2019,-162153700
19/03/2019,-160391900
20/03/2019,-154535700
21/03/2019,-154788500
22/03/2019,-149197900
23/03/2019,-136695000
24/03/2019,-122502800
25/03/2019,-144635100
26/03/2019,-152580900
27/03/2019,-154925900
28/03/2019,-148610700
29/03/2019,-142289600
30/03/2019,-131025300
31/03/2019,-127909800
01/04/2019,-146128200
02/04/2019,-158828400
03/04/2019,-158788600
04/04/2019,-158507400
05/04/2019,-148360500
06/04/2019,-136959400
07/04/2019,-133038600
08/04/2019,-147479900
09/04/2019,-150204300
10/04/2019,-146924200
11/04/2019,-149800200
12/04/2019,-150265500
13/04/2019,-129224600
14/04/2019,-129809200
15/04/2019,-137699200
16/04/2019,-149591000
17/04/2019,-140609400
18/04/2019,-133481000
19/04/2019,-118353700
20/04/2019,-112758100
21/04/2019,-102957400
22/04/2019,-109906200
23/04/2019,-129037900
24/04/2019,-135309900
25/04/2019,-135573200
26/04/2019,-131133900
27/04/2019,-119592500
28/04/2019,-124276500
29/04/2019,-142998600
30/04/2019,-140850900
01/05/2019,-143954600
02/05/2019,-141181400
03/05/2019,-143570300
04/05/2019,-115996900
05/05/2019,-121753100
06/05/2019,-129423900
07/05/2019,-142748400
08/05/2019,-144110300
09/05/2019,-145992100
10/05/2019,-143667500
11/05/2019,-124188200
12/05/2019,-116157800
13/05/2019,-129207000
14/05/2019,-128541200
15/05/2019,-130038100
16/05/2019,-127910600
17/05/2019,-135649300
18/05/2019,-123563700
19/05/2019,-118732200
20/05/2019,-132669200
21/05/2019,-128541300
22/05/2019,-128332000
23/05/2019,-125486100
24/05/2019,-124940000
25/05/2019,-111440200
26/05/2019,-102632900
27/05/2019,-109064500
28/05/2019,-128365200
29/05/2019,-134044400
30/05/2019,-123285800
31/05/2019,-121964800
01/06/2019,-110399500
02/06/2019,-103002200
03/06/2019,-118212300
04/06/2019,-135439200
05/06/2019,-129753300
06/06/2019,-125338800
07/06/2019,-130972700
08/06/2019,-110215500
09/06/2019,-109381700
10/06/2019,-134824300
11/06/2019,-131966800
12/06/2019,-137711900
13/06/2019,-139782100
14/06/2019,-132542400
15/06/2019,-115259400
16/06/2019,-108901600
17/06/2019,-123722900
18/06/2019,-134651500
19/06/2019,-135179800
20/06/2019,-125811000
21/06/2019,-123803000
22/06/2019,-108613200
23/06/2019,-110641500
24/06/2019,-133123000
25/06/2019,-135996400
26/06/2019,-131864300
27/06/2019,-122674600
28/06/2019,-119251400
29/06/2019,-112076000
30/06/2019,-101248800
01/07/2019,-118802900
02/07/2019,-127271300
03/07/2019,-128401400
04/07/2019,-123578100
05/07/2019,-122842600
06/07/2019,-113940800
07/07/2019,-109679600
08/07/2019,-128309700
09/07/2019,-133888200
10/07/2019,-131820800
11/07/2019,-131327500
12/07/2019,-124999300
13/07/2019,-114494800
14/07/2019,-111289300
15/07/2019,-128722100
16/07/2019,-129720900
17/07/2019,-130196200
18/07/2019,-127114100
19/07/2019,-130354100
20/07/2019,-106417200
21/07/2019,-104327200
22/07/2019,-120138800
23/07/2019,-129109500
24/07/2019,-132573700
25/07/2019,-134138100
26/07/2019,-134272600
27/07/2019,-118133000
28/07/2019,-110538600
29/07/2019,-124035000
30/07/2019,-126331500
31/07/2019,-124162100
01/08/2019,-126635000
02/08/2019,-124889400
03/08/2019,-113680600
04/08/2019,-110914700
05/08/2019,-122517000
06/08/2019,-123265200
07/08/2019,-120899200
08/08/2019,-125954000
09/08/2019,-119949900
10/08/2019,-103245900
11/08/2019,-104148300
12/08/2019,-125623200
13/08/2019,-124772800
14/08/2019,-134579600
15/08/2019,-119473800
16/08/2019,-123905500
17/08/2019,-99780800
18/08/2019,-97520300
19/08/2019,-118506600
20/08/2019,-125445600
21/08/2019,-123472400
22/08/2019,-122367700
23/08/2019,-122017900
24/08/2019,-109733200
25/08/2019,-108778200
26/08/2019,-115692300
27/08/2019,-134083800
28/08/2019,-133490000
29/08/2019,-122216100
30/08/2019,-116543200
31/08/2019,-103407400
01/09/2019,-102593000
02/09/2019,-122625400
03/09/2019,-126933300
04/09/2019,-120365800
05/09/2019,-122432700
06/09/2019,-123295900
07/09/2019,-114925800
08/09/2019,-111971600
09/09/2019,-139546400
10/09/2019,-133504600
11/09/2019,-127492700
12/09/2019,-130676400
13/09/2019,-126142300
14/09/2019,-107787900
15/09/2019,-112120300
16/09/2019,-137240000
17/09/2019,-130982500
18/09/2019,-135406600
19/09/2019,-134071000
20/09/2019,-126456900
21/09/2019,-108159700
22/09/2019,-119485200
23/09/2019,-132141900
24/09/2019,-137675300
25/09/2019,-139617500
26/09/2019,-128771600
27/09/2019,-128774600
28/09/2019,-114990300
29/09/2019,-117742800
30/09/2019,-141125300
01/10/2019,-139883300
02/10/2019,-139139200
03/10/2019,-147870900
04/10/2019,-140127900
05/10/2019,-128353700
06/10/2019,-119561600
07/10/2019,-142010900
08/10/2019,-133509800
09/10/2019,-136630400
10/10/2019,-135666000
11/10/2019,-136575300
12/10/2019,-131605000
13/10/2019,-132442200
14/10/2019,-152080200
15/10/2019,-149832500
16/10/2019,-145089200
17/10/2019,-147434300
18/10/2019,-145592200
19/10/2019,-130771800
20/10/2019,-129672300
21/10/2019,-153581700
22/10/2019,-151320500
23/10/2019,-151899600
24/10/2019,-152748400
25/10/2019,-151201600
26/10/2019,-137206700
27/10/2019,-129655400
28/10/2019,-160108600
29/10/2019,-159613400
30/10/2019,-157341900
31/10/2019,-160737700
01/11/2019,-155482200
02/11/2019,-137941800
03/11/2019,-137971500
04/11/2019,-157356100
05/11/2019,-158689600
06/11/2019,-167415800
07/11/2019,-162382400
08/11/2019,-164115400
09/11/2019,-157111400
10/11/2019,-147897300
11/11/2019,-159039300
12/11/2019,-163231400
13/11/2019,-170854500
