local_time,region2
01/01/2019,-217327880
02/01/2019,-272750786
03/01/2019,-290561348
04/01/2019,-288334046
05/01/2019,-264198858
06/01/2019,-255205412
07/01/2019,-262080896
08/01/2019,-266565684
09/01/2019,-288621102
10/01/2019,-297969518
11/01/2019,-283925180
12/01/2019,-231300300
13/01/2019,-219085790
14/01/2019,-271008122
15/01/2019,-264092752
16/01/2019,-267937824
17/01/2019,-279033370
18/01/2019,-290286766
19/01/2019,-270937898
20/01/2019,-263452112
21/01/2019,-293611164
22/01/2019,-296078552
23/01/2019,-302658510
24/01/2019,-301740978
25/01/2019,-277894540
26/01/2019,-235503730
27/01/2019,-231543312
28/01/2019,-280099512
29/01/2019,-296891980
30/01/2019,-301845852
31/01/2019,-303862328
01/02/2019,-298281984
02/02/2019,-266494844
03/02/2019,-255833886
04/02/2019,-281052464
05/02/2019,-287110516
06/02/2019,-274759562
07/02/2019,-266112924
08/02/2019,-252915124
09/02/2019,-227026184
10/02/2019,-241260404
11/02/2019,-275935506
12/02/2019,-272290480
13/02/2019,-258752186
14/02/2019,-257584250
15/02/2019,-250239836
16/02/2019,-226999388
17/02/2019,-209698258
18/02/2019,-249328926
19/02/2019,-254646392
20/02/2019,-246820266
21/02/2019,-244946702
22/02/2019,-241037720
23/02/2019,-217523152
24/02/2019,-218220310
25/02/2019,-245317534
26/02/2019,-250249230
27/02/2019,-250545372
28/02/2019,-265020448
01/03/2019,-257856676
02/03/2019,-211202684
03/03/2019,-214923170
04/03/2019,-241890418
05/03/2019,-253372812
06/03/2019,-251478150
07/03/2019,-246501948
08/03/2019,-251415780
09/03/2019,-214362610
10/03/2019,-215616016
11/03/2019,-240163462
12/03/2019,-250582024
13/03/2019,-239341872
14/03/2019,-235543616
15/03/2019,-232671670
16/03/2019,-220736362
17/03/2019,-208548340
18/03/2019,-255769360
19/03/2019,-256071662
20/03/2019,-245019698
21/03/2019,-247163840
22/03/2019,-237433042
23/03/2019,-221296614
24/03/2019,-198769648
25/03/2019,-235162312
26/03/2019,-247066358
27/03/2019,-250484080
28/03/2019,-240519664
29/03/2019,-228652116
30/03/2019,-211659140
31/03/2019,-205407356
01/04/2019,-234485020
02/04/2019,-249765516
03/04/2019,-249567780
04/04/2019,-251228362
05/04/2019,-236454680
06/04/2019,-217079324
07/04/2019,-210563738
08/04/2019,-236212284
09/04/2019,-241017238
10/04/2019,-236346726
11/04/2019,-241107174
12/04/2019,-236937778
13/04/2019,-204244810
14/04/2019,-204994328
15/04/2019,-217357448
16/04/2019,-238610218
17/04/2019,-222729892
18/04/2019,-211815296
19/04/2019,-189453264
20/04/2019,-181792226
21/04/2019,-164407320
22/04/2019,-174761510
23/04/2019,-206273914
24/04/2019,-215743682
25/04/2019,-217298928
26/04/2019,-207634966
27/04/2019,-189393666
28/04/2019,-195891542
29/04/2019,-225373456
30/04/2019,-224975982
01/05/2019,-229942944
02/05/2019,-225860866
03/05/2019,-226318708
04/05/2019,-184934134
05/05/2019,-192329676
06/05/2019,-204906702
07/05/2019,-224922390
08/05/2019,-227243478
09/05/2019,-231285824
10/05/2019,-228182878
11/05/2019,-197796060
12/05/2019,-184371726
13/05/2019,-203351764
14/05/2019,-202169044
15/05/2019,-204473038
16/05/2019,-203507304
17/05/2019,-214796890
18/05/2019,-194535264
19/05/2019,-187932822
20/05/2019,-210834008
21/05/2019,-208136544
22/05/2019,-207817302
23/05/2019,-203353458
24/05/2019,-202432076
25/05/2019,-178870846
26/05/2019,-164660804
27/05/2019,-173898802
28/05/2019,-206125920
29/05/2019,-211287846
30/05/2019,-195166972
31/05/2019,-192681874
01/06/2019,-175432488
02/06/2019,-165891264
03/06/2019,-191377186
04/06/2019,-216830306
05/06/2019,-207169732
06/06/2019,-200805528
07/06/2019,-208317494
08/06/2019,-174613824
09/06/2019,-173269096
10/06/2019,-214552030
11/06/2019,-210953050
12/06/2019,-218122058
13/06/2019,-221487420
14/06/2019,-211804670
15/06/2019,-183170064
16/06/2019,-172801090
17/06/2019,-197495760
18/06/2019,-214504136
19/06/2019,-214042906
20/06/2019,-199897390
21/06/2019,-198255134
22/06/2019,-172009376
23/06/2019,-175271096
24/06/2019,-213836546
25/06/2019,-220404338
26/06/2019,-210235872
27/06/2019,-194256524
28/06/2019,-190002274
29/06/2019,-177462208
30/06/2019,-163857694
01/07/2019,-191328830
02/07/2019,-205191910
03/07/2019,-207153716
04/07/2019,-199276308
05/07/2019,-196356160
06/07/2019,-184117010
07/07/2019,-177037014
08/07/2019,-207733372
09/07/2019,-215749380
10/07/2019,-211120140
11/07/2019,-210052150
12/07/2019,-199083038
13/07/2019,-183302350
14/07/2019,-179083674
15/07/2019,-208313182
16/07/2019,-209573056
17/07/2019,-206657220
18/07/2019,-202324276
19/07/2019,-207326504
20/07/2019,-170526972
21/07/2019,-165474232
22/07/2019,-196135632
23/07/2019,-208222476
24/07/2019,-218293614
25/07/2019,-221968670
26/07/2019,-216159482
27/07/2019,-193358550
28/07/2019,-179531506
29/07/2019,-201512080
30/07/2019,-204846642
31/07/2019,-201968074
01/08/2019,-206001334
02/08/2019,-202827086
03/08/2019,-180372654
04/08/2019,-176294888
05/08/2019,-194387270
06/08/2019,-197939896
07/08/2019,-196839258
08/08/2019,-202389880
09/08/2019,-191770348
10/08/2019,-166908896
11/08/2019,-170844520
12/08/2019,-201910324
