local_time,region2
01/01/2019 00:00,-7855694
01/01/2019 01:00,-7713090
01/01/2019 02:00,-7509040
01/01/2019 03:00,-7252322
01/01/2019 04:00,-7070910
01/01/2019 05:00,-6997606
01/01/2019 06:00,-7281428
01/01/2019 07:00,-7421722
01/01/2019 08:00,-7701540
01/01/2019 09:00,-8343104
01/01/2019 10:00,-8932770
01/01/2019 11:00,-9396464
01/01/2019 12:00,-9733724
01/01/2019 13:00,-9872016
01/01/2019 14:00,-10011078
01/01/2019 15:00,-10385760
01/01/2019 16:00,-11361812
01/01/2019 17:00,-11840906
01/01/2019 18:00,-11590656
01/01/2019 19:00,-11157608
01/01/2019 20:00,-10581648
01/01/2019 21:00,-9886646
01/01/2019 22:00,-9066904
01/01/2019 23:00,-8363432
02/01/2019 00:00,-8332478
02/01/2019 01:00,-8357580
02/01/2019 02:00,-8228374
02/01/2019 03:00,-8114260
02/01/2019 04:00,-8016624
02/01/2019 05:00,-8311842
02/01/2019 06:00,-9327010
02/01/2019 07:00,-10769990
02/01/2019 08:00,-11831204
02/01/2019 09:00,-12473384
02/01/2019 10:00,-12582878
02/01/2019 11:00,-12572560
02/01/2019 12:00,-12702074
02/01/2019 13:00,-12844986
02/01/2019 14:00,-13071058
02/01/2019 15:00,-13363350
02/01/2019 16:00,-14030324
02/01/2019 17:00,-14340480
02/01/2019 18:00,-14208348
02/01/2019 19:00,-13769910
02/01/2019 20:00,-12953402
02/01/2019 21:00,-11941160
02/01/2019 22:00,-10777228
02/01/2019 23:00,-9830282
03/01/2019 00:00,-9611910
03/01/2019 01:00,-9437274
03/01/2019 02:00,-9430498
03/01/2019 03:00,-9278192
03/01/2019 04:00,-9152528
03/01/2019 05:00,-9429112
03/01/2019 06:00,-10206196
03/01/2019 07:00,-11797786
03/01/2019 08:00,-12837902
03/01/2019 09:00,-13480852
03/01/2019 10:00,-13628384
03/01/2019 11:00,-13475462
03/01/2019 12:00,-13567092
03/01/2019 13:00,-13671350
03/01/2019 14:00,-13845678
03/01/2019 15:00,-14007686
03/01/2019 16:00,-14266560
03/01/2019 17:00,-14263018
03/01/2019 18:00,-14187558
03/01/2019 19:00,-14120722
03/01/2019 20:00,-13366276
03/01/2019 21:00,-12269796
03/01/2019 22:00,-11045342
03/01/2019 23:00,-10184174
04/01/2019 00:00,-9984590
04/01/2019 01:00,-9905434
04/01/2019 02:00,-9672894
04/01/2019 03:00,-9423106
04/01/2019 04:00,-9305604
04/01/2019 05:00,-9563246
04/01/2019 06:00,-10433654
04/01/2019 07:00,-12092080
04/01/2019 08:00,-12984664
04/01/2019 09:00,-13447280
04/01/2019 10:00,-13463296
04/01/2019 11:00,-13424950
04/01/2019 12:00,-13429416
04/01/2019 13:00,-13349798
04/01/2019 14:00,-13418482
04/01/2019 15:00,-13633158
04/01/2019 16:00,-13868778
04/01/2019 17:00,-14076524
04/01/2019 18:00,-14068670
04/01/2019 19:00,-13766214
04/01/2019 20:00,-12854226
04/01/2019 21:00,-11811492
04/01/2019 22:00,-10675588
04/01/2019 23:00,-9680902
05/01/2019 00:00,-9395078
05/01/2019 01:00,-9192876
05/01/2019 02:00,-9146368
05/01/2019 03:00,-9026710
05/01/2019 04:00,-8857464
05/01/2019 05:00,-8844990
05/01/2019 06:00,-9170854
05/01/2019 07:00,-9655338
05/01/2019 08:00,-10593198
05/01/2019 09:00,-11587268
05/01/2019 10:00,-11961026
05/01/2019 11:00,-12126730
05/01/2019 12:00,-12242076
05/01/2019 13:00,-12356190
05/01/2019 14:00,-12346796
05/01/2019 15:00,-12485858
05/01/2019 16:00,-13218898
05/01/2019 17:00,-13646710
05/01/2019 18:00,-13368278
05/01/2019 19:00,-12694066
05/01/2019 20:00,-11846912
05/01/2019 21:00,-10962952
05/01/2019 22:00,-10130582
05/01/2019 23:00,-9341640
06/01/2019 00:00,-9120188
06/01/2019 01:00,-8899352
06/01/2019 02:00,-8738422
06/01/2019 03:00,-8699152
06/01/2019 04:00,-8486786
06/01/2019 05:00,-8489250
06/01/2019 06:00,-8790320
06/01/2019 07:00,-8897812
06/01/2019 08:00,-9590350
06/01/2019 09:00,-10572716
06/01/2019 10:00,-11312840
06/01/2019 11:00,-11589732
06/01/2019 12:00,-11897424
06/01/2019 13:00,-11990748
06/01/2019 14:00,-12065592
06/01/2019 15:00,-12436886
06/01/2019 16:00,-13216434
06/01/2019 17:00,-13553540
06/01/2019 18:00,-13329932
06/01/2019 19:00,-12666500
06/01/2019 20:00,-11827046
06/01/2019 21:00,-10733184
06/01/2019 22:00,-9690142
06/01/2019 23:00,-8611064
07/01/2019 00:00,-8552390
07/01/2019 01:00,-8611218
07/01/2019 02:00,-8316154
07/01/2019 03:00,-8058666
07/01/2019 04:00,-7860314
07/01/2019 05:00,-8123808
07/01/2019 06:00,-9737882
07/01/2019 07:00,-11244156
07/01/2019 08:00,-11963336
07/01/2019 09:00,-12281962
07/01/2019 10:00,-12250392
07/01/2019 11:00,-12188484
07/01/2019 12:00,-12200188
07/01/2019 13:00,-12501566
07/01/2019 14:00,-12454904
07/01/2019 15:00,-12525898
07/01/2019 16:00,-13276032
07/01/2019 17:00,-13673506
07/01/2019 18:00,-13405854
07/01/2019 19:00,-12755204
07/01/2019 20:00,-11881408
07/01/2019 21:00,-10607674
07/01/2019 22:00,-9335172
07/01/2019 23:00,-8274728
08/01/2019 00:00,-8063132
08/01/2019 01:00,-8025556
08/01/2019 02:00,-7955486
08/01/2019 03:00,-7970732
08/01/2019 04:00,-7894810
08/01/2019 05:00,-7841526
08/01/2019 06:00,-9496102
08/01/2019 07:00,-11564476
08/01/2019 08:00,-12217436
08/01/2019 09:00,-12390994
08/01/2019 10:00,-12256552
08/01/2019 11:00,-12005686
08/01/2019 12:00,-11828278
08/01/2019 13:00,-11841676
08/01/2019 14:00,-12134892
08/01/2019 15:00,-12633390
08/01/2019 16:00,-13774684
08/01/2019 17:00,-14333858
